Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1741198676,2025-03-05T18:17:56Z,AIC506,"10.154207,76.390945",0,2,357
1741198696,2025-03-05T18:18:16Z,AIC506,"10.153951,76.390968",0,3,357
1741198719,2025-03-05T18:18:39Z,AIC506,"10.153707,76.390984",0,3,28
1741198740,2025-03-05T18:19:00Z,AIC506,"10.153485,76.390877",0,1,90
1741198761,2025-03-05T18:19:21Z,AIC506,"10.153484,76.390671",0,2,81
1741198781,2025-03-05T18:19:41Z,AIC506,"10.153462,76.390434",0,2,87
1741198799,2025-03-05T18:19:59Z,AIC506,"10.15345,76.390221",0,2,87
1741199094,2025-03-05T18:24:54Z,AIC506,"10.153404,76.390427",0,4,106
1741199107,2025-03-05T18:25:07Z,AIC506,"10.15313,76.390556",0,6,160
1741199115,2025-03-05T18:25:15Z,AIC506,"10.152915,76.390579",0,6,174
1741199124,2025-03-05T18:25:24Z,AIC506,"10.152683,76.390648",0,6,157
1741199140,2025-03-05T18:25:40Z,AIC506,"10.152519,76.391014",0,0,106
1741199147,2025-03-05T18:25:47Z,AIC506,"10.152519,76.39122",0,6,92
1741199157,2025-03-05T18:25:57Z,AIC506,"10.152519,76.391518",0,8,90
1741199161,2025-03-05T18:26:01Z,AIC506,"10.152534,76.391747",0,9,90
1741199166,2025-03-05T18:26:06Z,AIC506,"10.152543,76.391953",0,9,87
1741199176,2025-03-05T18:26:16Z,AIC506,"10.152557,76.392479",0,11,90
1741199189,2025-03-05T18:26:29Z,AIC506,"10.152592,76.393448",0,19,87
1741199206,2025-03-05T18:26:46Z,AIC506,"10.152659,76.395294",0,28,87
1741199213,2025-03-05T18:26:53Z,AIC506,"10.15266,76.395515",0,28,87
1741199302,2025-03-05T18:28:22Z,AIC506,"10.153118,76.407913",0,0,87
1741199310,2025-03-05T18:28:30Z,AIC506,"10.153148,76.408821",0,22,87
1741199316,2025-03-05T18:28:36Z,AIC506,"10.153175,76.409554",0,23,87
1741199323,2025-03-05T18:28:43Z,AIC506,"10.153206,76.410378",0,24,87
1741199330,2025-03-05T18:28:50Z,AIC506,"10.15323,76.411156",0,24,87
1741199338,2025-03-05T18:28:58Z,AIC506,"10.153267,76.412064",0,25,87
1741199346,2025-03-05T18:29:06Z,AIC506,"10.153311,76.413017",0,26,87
1741199354,2025-03-05T18:29:14Z,AIC506,"10.153346,76.413971",0,26,87
1741199360,2025-03-05T18:29:20Z,AIC506,"10.15337,76.414787",0,23,87
1741199368,2025-03-05T18:29:28Z,AIC506,"10.153392,76.415451",0,15,90
1741199371,2025-03-05T18:29:31Z,AIC506,"10.153346,76.415688",0,12,104
1741199378,2025-03-05T18:29:38Z,AIC506,"10.153072,76.415855",0,11,151
1741199382,2025-03-05T18:29:42Z,AIC506,"10.152832,76.415855",0,12,177
1741199387,2025-03-05T18:29:47Z,AIC506,"10.152557,76.415871",0,15,177
1741199390,2025-03-05T18:29:50Z,AIC506,"10.152328,76.415894",0,17,177
1741199393,2025-03-05T18:29:53Z,AIC506,"10.152042,76.415909",0,16,177
1741199398,2025-03-05T18:29:58Z,AIC506,"10.151798,76.415894",0,12,182
1741199404,2025-03-05T18:30:04Z,AIC506,"10.151642,76.415649",0,10,241
1741199410,2025-03-05T18:30:10Z,AIC506,"10.151647,76.415405",0,10,270
1741199415,2025-03-05T18:30:15Z,AIC506,"10.151647,76.415169",0,10,270
1741199419,2025-03-05T18:30:19Z,AIC506,"10.151635,76.414864",0,15,270
1741199422,2025-03-05T18:30:22Z,AIC506,"10.15163,76.414566",0,25,267
1741199424,2025-03-05T18:30:24Z,AIC506,"10.151611,76.414246",0,34,267
1741199426,2025-03-05T18:30:26Z,AIC506,"10.151608,76.413971",0,39,267
1741199432,2025-03-05T18:30:32Z,AIC506,"10.15153,76.412102",0,72,267
1741199441,2025-03-05T18:30:41Z,AIC506,"10.151367,76.408279",0,98,267
1741199464,2025-03-05T18:31:04Z,AIC506,"10.150772,76.392319",250,164,267
1741199473,2025-03-05T18:31:13Z,AIC506,"10.150576,76.385712",500,166,267
1741199482,2025-03-05T18:31:22Z,AIC506,"10.150269,76.378723",850,163,266
1741199488,2025-03-05T18:31:28Z,AIC506,"10.149971,76.374062",1100,162,266
1741199495,2025-03-05T18:31:35Z,AIC506,"10.149628,76.368805",1250,171,266
1741199504,2025-03-05T18:31:44Z,AIC506,"10.149133,76.361465",1450,180,266
1741199513,2025-03-05T18:31:53Z,AIC506,"10.148574,76.353607",1675,192,265
1741199519,2025-03-05T18:31:59Z,AIC506,"10.148155,76.34726",1850,199,265
1741199526,2025-03-05T18:32:06Z,AIC506,"10.147705,76.341248",2025,208,265
1741199534,2025-03-05T18:32:14Z,AIC506,"10.147131,76.333054",2225,220,266
1741199541,2025-03-05T18:32:21Z,AIC506,"10.147064,76.325607",2450,227,272
1741199543,2025-03-05T18:32:23Z,AIC506,"10.147224,76.323868",2500,230,276
1741199545,2025-03-05T18:32:25Z,AIC506,"10.147659,76.321091",2575,233,280
1741199547,2025-03-05T18:32:27Z,AIC506,"10.148155,76.318893",2625,236,283
1741199549,2025-03-05T18:32:29Z,AIC506,"10.148807,76.316528",2700,238,287
1741199551,2025-03-05T18:32:31Z,AIC506,"10.149628,76.314339",2750,241,291
1741199554,2025-03-05T18:32:34Z,AIC506,"10.150772,76.311874",2825,244,294
1741199556,2025-03-05T18:32:36Z,AIC506,"10.151962,76.309731",2875,248,300
1741199558,2025-03-05T18:32:38Z,AIC506,"10.153275,76.307724",2925,251,304
1741199560,2025-03-05T18:32:40Z,AIC506,"10.154846,76.305725",2975,253,309
1741199562,2025-03-05T18:32:42Z,AIC506,"10.156674,76.303741",3050,256,313
1741199564,2025-03-05T18:32:44Z,AIC506,"10.158463,76.302094",3125,257,318
1741199567,2025-03-05T18:32:47Z,AIC506,"10.160911,76.300194",3200,259,322
1741199569,2025-03-05T18:32:49Z,AIC506,"10.162866,76.298912",3275,262,328
1741199571,2025-03-05T18:32:51Z,AIC506,"10.165787,76.297256",3375,263,331
1741199573,2025-03-05T18:32:53Z,AIC506,"10.168079,76.296211",3475,264,334
1741199576,2025-03-05T18:32:56Z,AIC506,"10.170319,76.295258",3550,265,336
1741199578,2025-03-05T18:32:58Z,AIC506,"10.173107,76.294083",3675,267,338
1741199580,2025-03-05T18:33:00Z,AIC506,"10.175574,76.293137",3775,269,338
1741199582,2025-03-05T18:33:02Z,AIC506,"10.1786,76.291954",3875,270,339
1741199585,2025-03-05T18:33:05Z,AIC506,"10.180882,76.2911",3975,271,339
1741199587,2025-03-05T18:33:07Z,AIC506,"10.183255,76.290245",4050,272,339
1741199589,2025-03-05T18:33:09Z,AIC506,"10.186295,76.289108",4175,273,339
1741199591,2025-03-05T18:33:11Z,AIC506,"10.189075,76.288071",4275,273,339
1741199593,2025-03-05T18:33:13Z,AIC506,"10.191513,76.287109",4400,274,339
1741199596,2025-03-05T18:33:16Z,AIC506,"10.19387,76.286224",4500,274,339
1741199598,2025-03-05T18:33:18Z,AIC506,"10.196383,76.285271",4600,275,338
1741199600,2025-03-05T18:33:20Z,AIC506,"10.198897,76.284279",4700,276,338
1741199608,2025-03-05T18:33:28Z,AIC506,"10.209595,76.280075",5100,280,338
1741199622,2025-03-05T18:33:42Z,AIC506,"10.225388,76.27375",5750,283,339
1741199628,2025-03-05T18:33:48Z,AIC506,"10.233346,76.271591",6200,275,349
1741199630,2025-03-05T18:33:50Z,AIC506,"10.235916,76.271187",6350,274,352
1741199632,2025-03-05T18:33:52Z,AIC506,"10.239075,76.270859",6525,272,354
1741199634,2025-03-05T18:33:54Z,AIC506,"10.241455,76.270767",6650,270,358
1741199636,2025-03-05T18:33:56Z,AIC506,"10.243973,76.270813",6800,268,1
1741199638,2025-03-05T18:33:58Z,AIC506,"10.246536,76.27095",6950,265,4
1741199641,2025-03-05T18:34:01Z,AIC506,"10.248962,76.271278",7100,263,7
1741199643,2025-03-05T18:34:03Z,AIC506,"10.251781,76.271873",7275,259,13
1741199645,2025-03-05T18:34:05Z,AIC506,"10.254135,76.272491",7425,256,16
1741199647,2025-03-05T18:34:07Z,AIC506,"10.256287,76.273232",7550,254,20
1741199649,2025-03-05T18:34:09Z,AIC506,"10.259079,76.274445",7750,251,23
1741199651,2025-03-05T18:34:11Z,AIC506,"10.261137,76.275421",7900,248,25
1741199653,2025-03-05T18:34:13Z,AIC506,"10.263465,76.276611",8100,246,26
1741199656,2025-03-05T18:34:16Z,AIC506,"10.265533,76.277702",8250,244,27
1741199658,2025-03-05T18:34:18Z,AIC506,"10.267608,76.278786",8400,241,27
1741199660,2025-03-05T18:34:20Z,AIC506,"10.269608,76.279892",8550,240,28
1741199662,2025-03-05T18:34:22Z,AIC506,"10.271519,76.280914",8700,237,27
1741199664,2025-03-05T18:34:24Z,AIC506,"10.274002,76.282219",8875,236,27
1741199666,2025-03-05T18:34:26Z,AIC506,"10.27597,76.283241",9025,235,27
1741199668,2025-03-05T18:34:28Z,AIC506,"10.277893,76.284271",9150,235,27
1741199670,2025-03-05T18:34:30Z,AIC506,"10.279991,76.28537",9275,235,27
1741199672,2025-03-05T18:34:32Z,AIC506,"10.281967,76.286407",9400,234,27
1741199674,2025-03-05T18:34:34Z,AIC506,"10.284027,76.28743",9525,234,27
1741199687,2025-03-05T18:34:47Z,AIC506,"10.295929,76.293579",10225,232,27
1741199700,2025-03-05T18:35:00Z,AIC506,"10.30904,76.300377",10925,234,27
1741199714,2025-03-05T18:35:14Z,AIC506,"10.321935,76.307243",11450,242,27
1741199727,2025-03-05T18:35:27Z,AIC506,"10.33493,76.314156",11950,251,28
1741199739,2025-03-05T18:35:39Z,AIC506,"10.349028,76.321785",12225,266,28
1741199772,2025-03-05T18:36:12Z,AIC506,"10.386828,76.342102",12725,308,27
1741199802,2025-03-05T18:36:42Z,AIC506,"10.428131,76.364014",13275,339,27
1741199833,2025-03-05T18:37:13Z,AIC506,"10.47139,76.386993",14675,336,27
1741199865,2025-03-05T18:37:45Z,AIC506,"10.516068,76.410858",15800,344,27
1741199897,2025-03-05T18:38:17Z,AIC506,"10.562531,76.435814",16650,357,27
1741199928,2025-03-05T18:38:48Z,AIC506,"10.608627,76.460487",17575,365,27
1741199959,2025-03-05T18:39:19Z,AIC506,"10.655594,76.485634",18575,371,27
1741199992,2025-03-05T18:39:52Z,AIC506,"10.705199,76.51226",19325,385,27
1741200024,2025-03-05T18:40:24Z,AIC506,"10.757172,76.540047",20150,395,27
1741200054,2025-03-05T18:40:54Z,AIC506,"10.805938,76.566223",21150,396,27
1741200087,2025-03-05T18:41:27Z,AIC506,"10.859161,76.593506",22750,383,24
1741200118,2025-03-05T18:41:58Z,AIC506,"10.908646,76.616524",23525,389,24
1741200148,2025-03-05T18:42:28Z,AIC506,"10.959412,76.640152",23975,404,24
1741200180,2025-03-05T18:43:00Z,AIC506,"11.014526,76.665672",24600,413,24
1741200210,2025-03-05T18:43:30Z,AIC506,"11.06749,76.690346",25300,420,24
1741200242,2025-03-05T18:44:02Z,AIC506,"11.126124,76.71772",25925,428,24
1741200275,2025-03-05T18:44:35Z,AIC506,"11.185711,76.744659",26650,433,22
1741200305,2025-03-05T18:45:05Z,AIC506,"11.243995,76.766151",27225,440,19
1741200336,2025-03-05T18:45:36Z,AIC506,"11.303192,76.787476",27725,447,19
1741200368,2025-03-05T18:46:08Z,AIC506,"11.367325,76.810631",28375,437,19
1741200399,2025-03-05T18:46:39Z,AIC506,"11.425003,76.831421",28900,426,19
1741200432,2025-03-05T18:47:12Z,AIC506,"11.486481,76.853676",29450,432,19
1741200463,2025-03-05T18:47:43Z,AIC506,"11.545048,76.874901",29925,430,19
1741200495,2025-03-05T18:48:15Z,AIC506,"11.606827,76.897339",30000,449,19
1741200528,2025-03-05T18:48:48Z,AIC506,"11.672508,76.921066",30000,467,19
1741200560,2025-03-05T18:49:20Z,AIC506,"11.738379,76.945015",30000,474,19
1741200591,2025-03-05T18:49:51Z,AIC506,"11.803711,76.968697",30000,475,19
1741200624,2025-03-05T18:50:24Z,AIC506,"11.870544,76.992943",30000,474,19
1741200657,2025-03-05T18:50:57Z,AIC506,"11.938202,77.017525",30000,473,19
1741200687,2025-03-05T18:51:27Z,AIC506,"12.002331,77.04081",30000,473,19
1741200718,2025-03-05T18:51:58Z,AIC506,"12.066526,77.064079",30000,473,19
1741200750,2025-03-05T18:52:30Z,AIC506,"12.132568,77.088127",29975,474,19
1741200783,2025-03-05T18:53:03Z,AIC506,"12.200364,77.112846",29975,475,19
1741200814,2025-03-05T18:53:34Z,AIC506,"12.266693,77.136948",30000,476,19
1741200845,2025-03-05T18:54:05Z,AIC506,"12.331362,77.1605",30000,478,19
1741200876,2025-03-05T18:54:36Z,AIC506,"12.394766,77.183632",30000,480,19
1741200908,2025-03-05T18:55:08Z,AIC506,"12.462479,77.208313",30000,480,19
1741200941,2025-03-05T18:55:41Z,AIC506,"12.532516,77.233887",30025,481,19
1741200972,2025-03-05T18:56:12Z,AIC506,"12.596617,77.257256",30025,482,19
1741201004,2025-03-05T18:56:44Z,AIC506,"12.663712,77.281761",30025,482,19
1741201036,2025-03-05T18:57:16Z,AIC506,"12.731598,77.30658",30000,482,19
1741201066,2025-03-05T18:57:46Z,AIC506,"12.795456,77.329781",30025,481,19
1741201097,2025-03-05T18:58:17Z,AIC506,"12.862244,77.348343",30000,481,11
1741201128,2025-03-05T18:58:48Z,AIC506,"12.931458,77.356819",30025,480,4
1741201159,2025-03-05T18:59:19Z,AIC506,"12.999061,77.36264",30025,479,4
1741201191,2025-03-05T18:59:51Z,AIC506,"13.069076,77.36866",30000,478,4
1741201223,2025-03-05T19:00:23Z,AIC506,"13.140347,77.374733",30000,477,4
1741201253,2025-03-05T19:00:53Z,AIC506,"13.207103,77.380371",29975,478,4
1741201286,2025-03-05T19:01:26Z,AIC506,"13.279631,77.386536",29950,478,4
1741201318,2025-03-05T19:01:58Z,AIC506,"13.349762,77.39238",29975,480,4
1741201348,2025-03-05T19:02:28Z,AIC506,"13.41668,77.398056",29975,480,4
