Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1739382842,2025-02-12T17:54:02Z,AIC506,"10.154277,76.391571",0,1,354
1739382880,2025-02-12T17:54:40Z,AIC506,"10.153816,76.391617",0,0,16
1739382903,2025-02-12T17:55:03Z,AIC506,"10.153542,76.391533",0,2,73
1739383103,2025-02-12T17:58:23Z,AIC506,"10.153497,76.391884",0,4,87
1739383115,2025-02-12T17:58:35Z,AIC506,"10.153507,76.392143",0,0,87
1739383131,2025-02-12T17:58:51Z,AIC506,"10.153519,76.392548",0,0,87
1739383138,2025-02-12T17:58:58Z,AIC506,"10.15353,76.392761",0,6,87
1739383145,2025-02-12T17:59:05Z,AIC506,"10.153532,76.392982",0,7,87
1739383164,2025-02-12T17:59:24Z,AIC506,"10.153555,76.393669",0,0,87
1739383174,2025-02-12T17:59:34Z,AIC506,"10.153579,76.394081",0,0,87
1739383406,2025-02-12T18:03:26Z,AIC506,"10.153136,76.408493",0,0,87
1739383413,2025-02-12T18:03:33Z,AIC506,"10.153164,76.409248",0,19,87
1739383421,2025-02-12T18:03:41Z,AIC506,"10.153175,76.409805",0,14,87
1739383429,2025-02-12T18:03:49Z,AIC506,"10.153194,76.410301",0,15,87
1739383435,2025-02-12T18:03:55Z,AIC506,"10.15321,76.410835",0,15,87
1739383442,2025-02-12T18:04:02Z,AIC506,"10.153233,76.411377",0,16,87
1739383449,2025-02-12T18:04:09Z,AIC506,"10.153255,76.411957",0,17,87
1739383456,2025-02-12T18:04:16Z,AIC506,"10.153275,76.412506",0,18,87
1739383464,2025-02-12T18:04:24Z,AIC506,"10.153311,76.41317",0,15,87
1739383470,2025-02-12T18:04:30Z,AIC506,"10.153313,76.413544",0,14,87
1739383477,2025-02-12T18:04:37Z,AIC506,"10.153336,76.414101",0,15,87
1739383484,2025-02-12T18:04:44Z,AIC506,"10.153358,76.414581",0,16,87
1739383492,2025-02-12T18:04:52Z,AIC506,"10.153369,76.415192",0,14,87
1739383498,2025-02-12T18:04:58Z,AIC506,"10.15338,76.415512",0,9,90
1739383504,2025-02-12T18:05:04Z,AIC506,"10.15329,76.415718",0,8,112
1739383511,2025-02-12T18:05:11Z,AIC506,"10.153067,76.415855",0,8,146
1739383518,2025-02-12T18:05:18Z,AIC506,"10.152866,76.415871",0,5,174
1739383541,2025-02-12T18:05:41Z,AIC506,"10.152649,76.415871",0,2,177
1739383552,2025-02-12T18:05:52Z,AIC506,"10.152403,76.415878",0,6,177
1739383560,2025-02-12T18:06:00Z,AIC506,"10.152168,76.415894",0,7,177
1739383567,2025-02-12T18:06:07Z,AIC506,"10.151937,76.415894",0,6,182
1739383577,2025-02-12T18:06:17Z,AIC506,"10.151728,76.415764",0,5,213
1739383586,2025-02-12T18:06:26Z,AIC506,"10.151658,76.415558",0,5,250
1739383596,2025-02-12T18:06:36Z,AIC506,"10.151658,76.415344",0,5,264
1739383603,2025-02-12T18:06:43Z,AIC506,"10.151647,76.415062",0,12,267
1739383606,2025-02-12T18:06:46Z,AIC506,"10.151642,76.414787",0,24,267
1739383608,2025-02-12T18:06:48Z,AIC506,"10.151642,76.414581",0,29,267
1739383611,2025-02-12T18:06:51Z,AIC506,"10.151611,76.414116",0,43,267
1739383613,2025-02-12T18:06:53Z,AIC506,"10.151596,76.413635",0,53,267
1739383622,2025-02-12T18:07:02Z,AIC506,"10.151585,76.413231",0,58,267
1739383649,2025-02-12T18:07:29Z,AIC506,"10.150864,76.392548",325,158,267
1739383655,2025-02-12T18:07:35Z,AIC506,"10.150589,76.387337",525,161,267
1739383664,2025-02-12T18:07:44Z,AIC506,"10.150343,76.381165",800,161,267
1739383670,2025-02-12T18:07:50Z,AIC506,"10.150131,76.376114",1050,161,267
1739383677,2025-02-12T18:07:57Z,AIC506,"10.149948,76.370857",1200,170,267
1739383686,2025-02-12T18:08:06Z,AIC506,"10.149692,76.363365",1425,179,268
1739383694,2025-02-12T18:08:14Z,AIC506,"10.14949,76.356094",1650,189,268
1739383701,2025-02-12T18:08:21Z,AIC506,"10.149272,76.350243",1800,197,267
1739383710,2025-02-12T18:08:30Z,AIC506,"10.148941,76.341667",2025,209,267
1739383716,2025-02-12T18:08:36Z,AIC506,"10.148712,76.335052",2175,221,268
1739383721,2025-02-12T18:08:41Z,AIC506,"10.148807,76.330025",2275,229,273
1739383723,2025-02-12T18:08:43Z,AIC506,"10.148941,76.328354",2325,231,276
1739383725,2025-02-12T18:08:45Z,AIC506,"10.149412,76.325287",2375,234,280
1739383727,2025-02-12T18:08:47Z,AIC506,"10.149971,76.323158",2425,237,284
1739383729,2025-02-12T18:08:49Z,AIC506,"10.150622,76.32103",2475,240,288
1739383731,2025-02-12T18:08:51Z,AIC506,"10.151459,76.318947",2525,243,292
1739383734,2025-02-12T18:08:54Z,AIC506,"10.152786,76.316246",2600,247,298
1739383736,2025-02-12T18:08:56Z,AIC506,"10.154114,76.31411",2625,250,303
1739383738,2025-02-12T18:08:58Z,AIC506,"10.155697,76.31189",2675,253,307
1739383740,2025-02-12T18:09:00Z,AIC506,"10.157272,76.310104",2725,256,312
1739383743,2025-02-12T18:09:03Z,AIC506,"10.159001,76.308479",2750,260,316
1739383745,2025-02-12T18:09:05Z,AIC506,"10.161392,76.306519",2800,263,323
1739383747,2025-02-12T18:09:07Z,AIC506,"10.163589,76.305031",2850,265,326
1739383749,2025-02-12T18:09:09Z,AIC506,"10.165798,76.303696",2900,267,329
1739383751,2025-02-12T18:09:11Z,AIC506,"10.167938,76.302513",2950,268,332
1739383753,2025-02-12T18:09:13Z,AIC506,"10.170776,76.301117",3050,269,334
1739383756,2025-02-12T18:09:16Z,AIC506,"10.173203,76.300049",3150,271,336
1739383758,2025-02-12T18:09:18Z,AIC506,"10.175574,76.299057",3250,270,338
1739383760,2025-02-12T18:09:20Z,AIC506,"10.178558,76.297905",3375,271,338
1739383762,2025-02-12T18:09:22Z,AIC506,"10.180939,76.296974",3475,272,339
1739383764,2025-02-12T18:09:24Z,AIC506,"10.183182,76.296135",3575,272,339
1739383766,2025-02-12T18:09:26Z,AIC506,"10.185562,76.295303",3675,272,340
1739383768,2025-02-12T18:09:28Z,AIC506,"10.188446,76.294228",3775,273,340
1739383770,2025-02-12T18:09:30Z,AIC506,"10.190781,76.293388",3875,273,339
1739383773,2025-02-12T18:09:33Z,AIC506,"10.193344,76.292412",4000,274,339
1739383775,2025-02-12T18:09:35Z,AIC506,"10.195639,76.291527",4100,273,339
1739383777,2025-02-12T18:09:37Z,AIC506,"10.198563,76.290413",4250,273,338
1739383779,2025-02-12T18:09:39Z,AIC506,"10.200992,76.28949",4375,272,338
1739383781,2025-02-12T18:09:41Z,AIC506,"10.203226,76.288589",4475,272,338
1739383790,2025-02-12T18:09:50Z,AIC506,"10.213577,76.284363",5000,271,337
1739383803,2025-02-12T18:10:03Z,AIC506,"10.228729,76.277893",5700,272,336
1739383816,2025-02-12T18:10:16Z,AIC506,"10.244053,76.271255",6350,276,336
1739383829,2025-02-12T18:10:29Z,AIC506,"10.259834,76.264343",6900,283,336
1739383844,2025-02-12T18:10:44Z,AIC506,"10.278083,76.256294",7675,282,336
1739383857,2025-02-12T18:10:57Z,AIC506,"10.294003,76.249992",8275,283,344
1739383859,2025-02-12T18:10:59Z,AIC506,"10.296563,76.249382",8350,284,346
1739383861,2025-02-12T18:11:01Z,AIC506,"10.299866,76.248703",8450,284,349
1739383864,2025-02-12T18:11:04Z,AIC506,"10.302056,76.248482",8500,285,352
1739383866,2025-02-12T18:11:06Z,AIC506,"10.305176,76.248238",8575,285,357
1739383868,2025-02-12T18:11:08Z,AIC506,"10.307783,76.248192",8650,286,1
1739383870,2025-02-12T18:11:10Z,AIC506,"10.310436,76.248383",8725,285,3
1739383872,2025-02-12T18:11:12Z,AIC506,"10.313043,76.248672",8800,284,6
1739383874,2025-02-12T18:11:14Z,AIC506,"10.316442,76.249382",8900,286,10
1739383876,2025-02-12T18:11:16Z,AIC506,"10.319138,76.250099",8975,284,15
1739383879,2025-02-12T18:11:19Z,AIC506,"10.322214,76.251228",9100,284,19
1739383881,2025-02-12T18:11:21Z,AIC506,"10.324722,76.252335",9175,284,22
1739383883,2025-02-12T18:11:23Z,AIC506,"10.327055,76.253502",9250,284,26
1739383885,2025-02-12T18:11:25Z,AIC506,"10.329476,76.254776",9350,285,28
1739383887,2025-02-12T18:11:27Z,AIC506,"10.332502,76.256432",9450,286,28
1739383890,2025-02-12T18:11:30Z,AIC506,"10.334793,76.257736",9525,286,29
1739383892,2025-02-12T18:11:32Z,AIC506,"10.337669,76.259369",9625,287,29
1739383894,2025-02-12T18:11:34Z,AIC506,"10.33992,76.260666",9725,288,29
1739383896,2025-02-12T18:11:36Z,AIC506,"10.342712,76.262245",9825,288,29
1739383898,2025-02-12T18:11:38Z,AIC506,"10.345047,76.263596",9900,289,29
1739383900,2025-02-12T18:11:40Z,AIC506,"10.347519,76.264992",10000,290,29
1739383903,2025-02-12T18:11:43Z,AIC506,"10.349819,76.266335",10100,290,29
1739383905,2025-02-12T18:11:45Z,AIC506,"10.352798,76.26799",10175,291,29
1739383907,2025-02-12T18:11:47Z,AIC506,"10.355209,76.269371",10250,294,29
1739383920,2025-02-12T18:12:00Z,AIC506,"10.371323,76.278358",10525,309,28
1739383935,2025-02-12T18:12:15Z,AIC506,"10.390971,76.289345",10800,326,28
1739383950,2025-02-12T18:12:30Z,AIC506,"10.411285,76.300751",11150,340,29
1739383963,2025-02-12T18:12:43Z,AIC506,"10.429001,76.310753",11750,338,29
1739383975,2025-02-12T18:12:55Z,AIC506,"10.445857,76.320221",12425,335,29
1739384007,2025-02-12T18:13:27Z,AIC506,"10.489929,76.345085",13650,342,29
1739384040,2025-02-12T18:14:00Z,AIC506,"10.53511,76.370605",15000,344,29
1739384073,2025-02-12T18:14:33Z,AIC506,"10.582208,76.39724",16050,351,29
1739384105,2025-02-12T18:15:05Z,AIC506,"10.629501,76.424072",16950,363,29
1739384136,2025-02-12T18:15:36Z,AIC506,"10.675546,76.45015",17975,368,29
1739384168,2025-02-12T18:16:08Z,AIC506,"10.723029,76.477081",18925,376,29
1739384198,2025-02-12T18:16:38Z,AIC506,"10.769669,76.503532",19800,380,29
1739384230,2025-02-12T18:17:10Z,AIC506,"10.81842,76.531189",20775,386,29
1739384261,2025-02-12T18:17:41Z,AIC506,"10.868178,76.559387",21800,388,29
1739384292,2025-02-12T18:18:12Z,AIC506,"10.916872,76.58709",22750,390,29
1739384325,2025-02-12T18:18:45Z,AIC506,"10.969482,76.616951",23675,395,29
1739384356,2025-02-12T18:19:16Z,AIC506,"11.018921,76.645126",24550,395,29
1739384388,2025-02-12T18:19:48Z,AIC506,"11.071984,76.675316",25150,404,29
1739384419,2025-02-12T18:20:19Z,AIC506,"11.122912,76.704277",25850,408,29
1739384452,2025-02-12T18:20:52Z,AIC506,"11.175842,76.73439",26525,414,29
1739384482,2025-02-12T18:21:22Z,AIC506,"11.228622,76.764458",27175,418,29
1739384514,2025-02-12T18:21:54Z,AIC506,"11.281841,76.794769",27775,424,29
1739384546,2025-02-12T18:22:26Z,AIC506,"11.338074,76.826775",28400,427,29
1739384579,2025-02-12T18:22:59Z,AIC506,"11.393706,76.858475",28975,431,29
1739384611,2025-02-12T18:23:31Z,AIC506,"11.450546,76.890892",29550,434,29
1739384644,2025-02-12T18:24:04Z,AIC506,"11.507446,76.923332",30200,435,29
1739384674,2025-02-12T18:24:34Z,AIC506,"11.561417,76.954117",30600,441,29
1739384706,2025-02-12T18:25:06Z,AIC506,"11.620605,76.987976",30750,454,29
1739384737,2025-02-12T18:25:37Z,AIC506,"11.676884,77.020279",31050,460,29
1739384770,2025-02-12T18:26:10Z,AIC506,"11.738022,77.055214",31400,465,29
1739384800,2025-02-12T18:26:40Z,AIC506,"11.795872,77.088219",31775,468,29
1739384833,2025-02-12T18:27:13Z,AIC506,"11.856436,77.122818",32275,466,29
1739384863,2025-02-12T18:27:43Z,AIC506,"11.914906,77.156403",32725,466,29
1739384895,2025-02-12T18:28:15Z,AIC506,"11.974818,77.190712",33300,461,29
1739384927,2025-02-12T18:28:47Z,AIC506,"12.034561,77.224983",33975,456,29
1739384959,2025-02-12T18:29:19Z,AIC506,"12.093574,77.258171",34350,456,26
1739384991,2025-02-12T18:29:51Z,AIC506,"12.157117,77.284142",34700,458,17
1739385024,2025-02-12T18:30:24Z,AIC506,"12.222839,77.302979",35075,460,15
