Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1733150814,2024-12-02T14:46:54Z,AIC2886,"10.154393,76.391563",0,0,357
1733151024,2024-12-02T14:50:24Z,AIC2886,"10.154182,76.391579",0,1,357
1733151051,2024-12-02T14:50:51Z,AIC2886,"10.153962,76.391571",0,2,348
1733151073,2024-12-02T14:51:13Z,AIC2886,"10.153753,76.391609",0,2,323
1733151097,2024-12-02T14:51:37Z,AIC2886,"10.153553,76.391747",0,2,284
1733151136,2024-12-02T14:52:16Z,AIC2886,"10.153542,76.39212",0,0,270
1733151498,2024-12-02T14:58:18Z,AIC2886,"10.153519,76.391685",0,7,267
1733151519,2024-12-02T14:58:39Z,AIC2886,"10.153497,76.391006",0,7,267
1733151533,2024-12-02T14:58:53Z,AIC2886,"10.153416,76.39064",0,6,244
1733151540,2024-12-02T14:59:00Z,AIC2886,"10.153118,76.390579",0,8,185
1733151546,2024-12-02T14:59:06Z,AIC2886,"10.152912,76.390594",0,8,180
1733151552,2024-12-02T14:59:12Z,AIC2886,"10.152705,76.390564",0,8,191
1733151559,2024-12-02T14:59:19Z,AIC2886,"10.152523,76.390335",0,8,236
1733151567,2024-12-02T14:59:27Z,AIC2886,"10.152489,76.390038",0,9,261
1733151576,2024-12-02T14:59:36Z,AIC2886,"10.152466,76.389641",0,10,267
1733151580,2024-12-02T14:59:40Z,AIC2886,"10.152454,76.38942",0,11,267
1733151587,2024-12-02T14:59:47Z,AIC2886,"10.15245,76.389114",0,12,267
1733151596,2024-12-02T14:59:56Z,AIC2886,"10.152427,76.388519",0,13,267
1733151602,2024-12-02T15:00:02Z,AIC2886,"10.152403,76.388084",0,14,267
1733151610,2024-12-02T15:00:10Z,AIC2886,"10.152397,76.38765",0,13,267
1733151617,2024-12-02T15:00:17Z,AIC2886,"10.152374,76.387276",0,11,267
1733151624,2024-12-02T15:00:24Z,AIC2886,"10.152368,76.386887",0,11,267
1733151631,2024-12-02T15:00:31Z,AIC2886,"10.152345,76.386459",0,12,267
1733151637,2024-12-02T15:00:37Z,AIC2886,"10.15234,76.386139",0,12,267
1733151646,2024-12-02T15:00:46Z,AIC2886,"10.152328,76.385704",0,10,267
1733151653,2024-12-02T15:00:53Z,AIC2886,"10.152309,76.385391",0,8,264
1733151660,2024-12-02T15:01:00Z,AIC2886,"10.152168,76.385155",0,9,233
1733151665,2024-12-02T15:01:05Z,AIC2886,"10.151891,76.385071",0,11,194
1733151670,2024-12-02T15:01:10Z,AIC2886,"10.15167,76.385071",0,11,180
1733151674,2024-12-02T15:01:14Z,AIC2886,"10.151425,76.385086",0,11,180
1733151680,2024-12-02T15:01:20Z,AIC2886,"10.151181,76.385086",0,10,180
1733151685,2024-12-02T15:01:25Z,AIC2886,"10.150925,76.385101",0,11,177
1733151690,2024-12-02T15:01:30Z,AIC2886,"10.150703,76.385109",0,8,177
1733151697,2024-12-02T15:01:37Z,AIC2886,"10.150529,76.385315",0,8,126
1733151703,2024-12-02T15:01:43Z,AIC2886,"10.150566,76.385529",0,9,84
1733151708,2024-12-02T15:01:48Z,AIC2886,"10.150566,76.385742",0,10,87
1733151713,2024-12-02T15:01:53Z,AIC2886,"10.150587,76.386047",0,15,87
1733151716,2024-12-02T15:01:56Z,AIC2886,"10.150589,76.38636",0,24,87
1733151724,2024-12-02T15:02:04Z,AIC2886,"10.150645,76.387772",0,59,87
1733151731,2024-12-02T15:02:11Z,AIC2886,"10.150761,76.390823",0,94,87
1733151743,2024-12-02T15:02:23Z,AIC2886,"10.151001,76.397346",200,124,88
1733151763,2024-12-02T15:02:43Z,AIC2886,"10.151833,76.411285",725,151,85
1733151771,2024-12-02T15:02:51Z,AIC2886,"10.152298,76.417107",1000,153,86
1733151778,2024-12-02T15:02:58Z,AIC2886,"10.152557,76.422577",1150,162,87
1733151785,2024-12-02T15:03:05Z,AIC2886,"10.15274,76.427742",1300,170,88
1733151794,2024-12-02T15:03:14Z,AIC2886,"10.152904,76.435341",1525,181,88
1733151802,2024-12-02T15:03:22Z,AIC2886,"10.153061,76.442825",1750,193,88
1733151809,2024-12-02T15:03:29Z,AIC2886,"10.153183,76.44912",1950,201,88
1733151818,2024-12-02T15:03:38Z,AIC2886,"10.153336,76.457581",2225,214,89
1733151826,2024-12-02T15:03:46Z,AIC2886,"10.153473,76.465683",2450,226,89
1733151833,2024-12-02T15:03:53Z,AIC2886,"10.153602,76.474548",2725,236,89
1733151840,2024-12-02T15:04:00Z,AIC2886,"10.153741,76.48246",3025,243,88
1733151851,2024-12-02T15:04:11Z,AIC2886,"10.153975,76.494347",3425,254,88
1733151857,2024-12-02T15:04:17Z,AIC2886,"10.15416,76.501968",3800,254,88
1733151867,2024-12-02T15:04:27Z,AIC2886,"10.154765,76.51329",4400,253,83
1733151869,2024-12-02T15:04:29Z,AIC2886,"10.155167,76.515678",4500,254,78
1733151871,2024-12-02T15:04:31Z,AIC2886,"10.155697,76.518074",4625,255,74
1733151873,2024-12-02T15:04:33Z,AIC2886,"10.156586,76.520752",4750,255,70
1733151875,2024-12-02T15:04:35Z,AIC2886,"10.157501,76.523079",4875,255,66
1733151877,2024-12-02T15:04:37Z,AIC2886,"10.158737,76.525688",5000,255,63
1733151880,2024-12-02T15:04:40Z,AIC2886,"10.159653,76.527367",5100,254,57
1733151882,2024-12-02T15:04:42Z,AIC2886,"10.161438,76.53006",5250,255,55
1733151884,2024-12-02T15:04:44Z,AIC2886,"10.163269,76.532394",5375,255,51
1733151886,2024-12-02T15:04:46Z,AIC2886,"10.164961,76.534172",5500,254,46
1733151888,2024-12-02T15:04:48Z,AIC2886,"10.166822,76.536018",5600,255,42
1733151891,2024-12-02T15:04:51Z,AIC2886,"10.168312,76.537201",5700,254,38
1733151893,2024-12-02T15:04:53Z,AIC2886,"10.170779,76.539047",5825,254,35
1733151895,2024-12-02T15:04:55Z,AIC2886,"10.173433,76.540657",5975,254,31
1733151897,2024-12-02T15:04:57Z,AIC2886,"10.175668,76.541748",6075,254,25
1733151899,2024-12-02T15:04:59Z,AIC2886,"10.177809,76.542694",6200,254,22
1733151902,2024-12-02T15:05:02Z,AIC2886,"10.180115,76.543472",6300,253,18
1733151904,2024-12-02T15:05:04Z,AIC2886,"10.182278,76.544167",6425,252,16
1733151906,2024-12-02T15:05:06Z,AIC2886,"10.184885,76.544876",6550,251,14
1733151908,2024-12-02T15:05:08Z,AIC2886,"10.187632,76.54554",6700,251,13
1733151910,2024-12-02T15:05:10Z,AIC2886,"10.189819,76.546028",6825,251,12
1733151914,2024-12-02T15:05:14Z,AIC2886,"10.193543,76.54686",7025,250,11
1733151916,2024-12-02T15:05:16Z,AIC2886,"10.19629,76.547432",7150,250,10
1733151918,2024-12-02T15:05:18Z,AIC2886,"10.198517,76.547798",7275,249,9
1733151920,2024-12-02T15:05:20Z,AIC2886,"10.201224,76.548233",7425,249,8
1733151922,2024-12-02T15:05:22Z,AIC2886,"10.203461,76.5485",7525,249,6
1733151924,2024-12-02T15:05:24Z,AIC2886,"10.205461,76.548759",7625,250,5
1733151926,2024-12-02T15:05:26Z,AIC2886,"10.207788,76.548943",7725,250,4
1733151928,2024-12-02T15:05:28Z,AIC2886,"10.210648,76.549149",7850,251,3
1733151930,2024-12-02T15:05:30Z,AIC2886,"10.213375,76.549324",7950,252,3
1733151932,2024-12-02T15:05:32Z,AIC2886,"10.215749,76.549423",8050,253,2
1733151935,2024-12-02T15:05:35Z,AIC2886,"10.218155,76.549522",8150,253,2
1733151937,2024-12-02T15:05:37Z,AIC2886,"10.220764,76.549614",8250,255,1
1733151940,2024-12-02T15:05:40Z,AIC2886,"10.223602,76.549706",8375,256,1
1733151942,2024-12-02T15:05:42Z,AIC2886,"10.226643,76.549751",8500,256,1
1733151956,2024-12-02T15:05:56Z,AIC2886,"10.243355,76.550034",9200,260,1
1733151970,2024-12-02T15:06:10Z,AIC2886,"10.260681,76.550407",9925,264,1
1733151984,2024-12-02T15:06:24Z,AIC2886,"10.277943,76.550888",10600,268,1
1733151997,2024-12-02T15:06:37Z,AIC2886,"10.294608,76.551361",11100,278,1
1733152010,2024-12-02T15:06:50Z,AIC2886,"10.311926,76.551689",11650,285,1
1733152024,2024-12-02T15:07:04Z,AIC2886,"10.329437,76.551987",12175,292,1
1733152056,2024-12-02T15:07:36Z,AIC2886,"10.374538,76.556473",13450,311,9
1733152085,2024-12-02T15:08:05Z,AIC2886,"10.418884,76.564606",14000,348,10
1733152118,2024-12-02T15:08:38Z,AIC2886,"10.472299,76.575722",14000,362,11
1733152149,2024-12-02T15:09:09Z,AIC2886,"10.523319,76.58622",14175,357,10
1733152183,2024-12-02T15:09:43Z,AIC2886,"10.578186,76.596443",15750,353,9
1733152216,2024-12-02T15:10:16Z,AIC2886,"10.632111,76.605392",17075,358,9
1733152246,2024-12-02T15:10:46Z,AIC2886,"10.681458,76.615234",18000,371,20
1733152249,2024-12-02T15:10:49Z,AIC2886,"10.686356,76.617233",18100,372,22
1733152251,2024-12-02T15:10:51Z,AIC2886,"10.690842,76.619408",18225,372,24
1733152254,2024-12-02T15:10:54Z,AIC2886,"10.693933,76.621155",18325,370,30
1733152256,2024-12-02T15:10:56Z,AIC2886,"10.697708,76.623436",18450,369,31
1733152259,2024-12-02T15:10:59Z,AIC2886,"10.701874,76.626137",18600,368,32
1733152264,2024-12-02T15:11:04Z,AIC2886,"10.708282,76.630394",18875,364,33
1733152267,2024-12-02T15:11:07Z,AIC2886,"10.711297,76.632385",19000,362,33
1733152270,2024-12-02T15:11:10Z,AIC2886,"10.717987,76.636887",19250,361,33
1733152273,2024-12-02T15:11:13Z,AIC2886,"10.72229,76.639816",19400,361,33
1733152277,2024-12-02T15:11:17Z,AIC2886,"10.726776,76.642807",19550,361,33
1733152309,2024-12-02T15:11:49Z,AIC2886,"10.772188,76.673828",20725,366,34
1733152341,2024-12-02T15:12:21Z,AIC2886,"10.817018,76.704613",21750,373,34
1733152371,2024-12-02T15:12:51Z,AIC2886,"10.859939,76.734154",22650,382,34
1733152402,2024-12-02T15:13:22Z,AIC2886,"10.906906,76.766541",23450,393,34
1733152434,2024-12-02T15:13:54Z,AIC2886,"10.955154,76.799644",24250,402,34
1733152465,2024-12-02T15:14:25Z,AIC2886,"11.002761,76.832451",25100,408,34
1733152497,2024-12-02T15:14:57Z,AIC2886,"11.055176,76.868683",25875,415,34
1733152529,2024-12-02T15:15:29Z,AIC2886,"11.105083,76.903137",27175,405,34
1733152560,2024-12-02T15:16:00Z,AIC2886,"11.153366,76.936546",27750,414,34
1733152592,2024-12-02T15:16:32Z,AIC2886,"11.204286,76.971756",28600,414,34
1733152623,2024-12-02T15:17:03Z,AIC2886,"11.25391,77.005966",29250,418,34
1733152656,2024-12-02T15:17:36Z,AIC2886,"11.307312,77.043045",29750,427,34
1733152687,2024-12-02T15:18:07Z,AIC2886,"11.359268,77.078796",29975,442,33
1733152720,2024-12-02T15:18:40Z,AIC2886,"11.417816,77.11261",30250,457,26
1733152751,2024-12-02T15:19:11Z,AIC2886,"11.47879,77.138985",30950,457,20
1733152783,2024-12-02T15:19:43Z,AIC2886,"11.543976,77.158501",32650,430,13
1733152815,2024-12-02T15:20:15Z,AIC2886,"11.603518,77.171776",33225,432,12
1733152849,2024-12-02T15:20:49Z,AIC2886,"11.673203,77.187103",33700,438,12
1733152881,2024-12-02T15:21:21Z,AIC2886,"11.736511,77.200928",34200,440,12
1733152914,2024-12-02T15:21:54Z,AIC2886,"11.802338,77.215652",34600,446,13
1733152945,2024-12-02T15:22:25Z,AIC2886,"11.863838,77.232155",35375,437,14
1733152976,2024-12-02T15:22:56Z,AIC2886,"11.923285,77.248245",35750,440,14
1733153008,2024-12-02T15:23:28Z,AIC2886,"11.987869,77.2658",36225,442,14
1733153040,2024-12-02T15:24:00Z,AIC2886,"12.053925,77.280724",36625,446,5
1733153043,2024-12-02T15:24:03Z,AIC2886,"12.057356,77.280968",36650,447,3
1733153048,2024-12-02T15:24:08Z,AIC2886,"12.068619,77.281288",36750,447,3
1733153051,2024-12-02T15:24:11Z,AIC2886,"12.075073,77.281143",36825,446,358
1733153054,2024-12-02T15:24:14Z,AIC2886,"12.079422,77.280907",36875,446,356
1733153056,2024-12-02T15:24:16Z,AIC2886,"12.0851,77.280479",36925,446,354
1733153059,2024-12-02T15:24:19Z,AIC2886,"12.089197,77.279999",36975,446,353
1733153063,2024-12-02T15:24:23Z,AIC2886,"12.099564,77.27845",37075,447,349
1733153066,2024-12-02T15:24:26Z,AIC2886,"12.10698,77.276917",37125,446,347
1733153068,2024-12-02T15:24:28Z,AIC2886,"12.109726,77.276268",37125,447,346
1733153071,2024-12-02T15:24:31Z,AIC2886,"12.117554,77.274185",37175,447,344
1733153073,2024-12-02T15:24:33Z,AIC2886,"12.121597,77.272919",37200,448,346
1733153077,2024-12-02T15:24:37Z,AIC2886,"12.127625,77.27092",37250,448,341
1733153080,2024-12-02T15:24:40Z,AIC2886,"12.133896,77.2686",37275,448,340
1733153083,2024-12-02T15:24:43Z,AIC2886,"12.139572,77.266464",37300,448,339
1733153086,2024-12-02T15:24:46Z,AIC2886,"12.145615,77.264099",37325,448,338
1733153089,2024-12-02T15:24:49Z,AIC2886,"12.151611,77.261681",37375,449,338
1733153092,2024-12-02T15:24:52Z,AIC2886,"12.15735,77.259377",37425,450,338
1733153125,2024-12-02T15:25:25Z,AIC2886,"12.221172,77.233452",37900,448,338
1733153143,2024-12-02T15:25:43Z,AIC2886,"12.258545,77.22271",38000,450,349
1733153146,2024-12-02T15:25:46Z,AIC2886,"12.262894,77.222",38000,451,350
1733153148,2024-12-02T15:25:48Z,AIC2886,"12.267059,77.221382",38000,450,351
1733153152,2024-12-02T15:25:52Z,AIC2886,"12.277128,77.220345",38000,452,354
1733153156,2024-12-02T15:25:56Z,AIC2886,"12.283413,77.219963",38000,452,357
1733153159,2024-12-02T15:25:59Z,AIC2886,"12.287521,77.219872",38000,452,358
1733153161,2024-12-02T15:26:01Z,AIC2886,"12.295609,77.219963",38000,452,358
1733153165,2024-12-02T15:26:05Z,AIC2886,"12.301987,77.220345",38000,452,2
1733153167,2024-12-02T15:26:07Z,AIC2886,"12.306271,77.22068",38000,452,4
1733153169,2024-12-02T15:26:09Z,AIC2886,"12.312653,77.221436",38000,454,7
1733153171,2024-12-02T15:26:11Z,AIC2886,"12.316818,77.222092",38000,453,8
1733153175,2024-12-02T15:26:15Z,AIC2886,"12.324051,77.223419",38000,453,10
1733153177,2024-12-02T15:26:17Z,AIC2886,"12.327452,77.224152",38000,453,12
1733153179,2024-12-02T15:26:19Z,AIC2886,"12.333481,77.225647",38000,453,14
1733153182,2024-12-02T15:26:22Z,AIC2886,"12.337646,77.226807",38000,453,15
1733153184,2024-12-02T15:26:24Z,AIC2886,"12.341277,77.227913",38000,453,16
1733153186,2024-12-02T15:26:26Z,AIC2886,"12.345428,77.229202",38000,454,17
1733153188,2024-12-02T15:26:28Z,AIC2886,"12.349331,77.230469",38000,452,17
1733153190,2024-12-02T15:26:30Z,AIC2886,"12.353334,77.231766",38000,453,17
1733153192,2024-12-02T15:26:32Z,AIC2886,"12.358429,77.233459",38000,453,18
1733153194,2024-12-02T15:26:34Z,AIC2886,"12.362739,77.234901",38000,452,18
1733153197,2024-12-02T15:26:37Z,AIC2886,"12.368092,77.236679",38000,452,18
1733153199,2024-12-02T15:26:39Z,AIC2886,"12.372391,77.238098",38000,452,18
1733153201,2024-12-02T15:26:41Z,AIC2886,"12.376472,77.239479",38000,452,18
1733153232,2024-12-02T15:27:12Z,AIC2886,"12.438013,77.259956",38000,453,18
1733153263,2024-12-02T15:27:43Z,AIC2886,"12.501343,77.281197",38000,457,18
1733153295,2024-12-02T15:28:15Z,AIC2886,"12.564123,77.302162",38000,464,18
1733153328,2024-12-02T15:28:48Z,AIC2886,"12.631531,77.324669",38000,462,18
1733153359,2024-12-02T15:29:19Z,AIC2886,"12.695028,77.345917",38000,459,18
1733153390,2024-12-02T15:29:50Z,AIC2886,"12.759155,77.367523",38000,458,18
1733153423,2024-12-02T15:30:23Z,AIC2886,"12.82435,77.389427",37975,456,18
1733153453,2024-12-02T15:30:53Z,AIC2886,"12.886597,77.410332",37975,456,18
1733153487,2024-12-02T15:31:27Z,AIC2886,"12.953659,77.432823",37975,456,18
1733153517,2024-12-02T15:31:57Z,AIC2886,"13.014359,77.453186",38000,458,18
1733153548,2024-12-02T15:32:28Z,AIC2886,"13.076752,77.474258",38000,458,18
1733153581,2024-12-02T15:33:01Z,AIC2886,"13.143559,77.496742",38000,459,18
1733153611,2024-12-02T15:33:31Z,AIC2886,"13.204834,77.517403",38000,460,18
1733153644,2024-12-02T15:34:04Z,AIC2886,"13.272323,77.540154",38000,461,18
1733153676,2024-12-02T15:34:36Z,AIC2886,"13.337128,77.562012",38025,462,18
1733153708,2024-12-02T15:35:08Z,AIC2886,"13.401993,77.583885",38050,462,18
1733153738,2024-12-02T15:35:38Z,AIC2886,"13.463562,77.604721",38050,461,18
1733153771,2024-12-02T15:36:11Z,AIC2886,"13.530121,77.627213",38050,460,18
1733153804,2024-12-02T15:36:44Z,AIC2886,"13.59735,77.649971",38025,458,18
1733153835,2024-12-02T15:37:15Z,AIC2886,"13.659171,77.670883",38000,458,18
1733153868,2024-12-02T15:37:48Z,AIC2886,"13.725881,77.693481",37975,458,18
1733153901,2024-12-02T15:38:21Z,AIC2886,"13.79306,77.71624",37975,456,18
1733153935,2024-12-02T15:38:55Z,AIC2886,"13.858978,77.73864",37975,456,18
1733153968,2024-12-02T15:39:28Z,AIC2886,"13.926407,77.761467",38000,454,18
1733154002,2024-12-02T15:40:02Z,AIC2886,"13.993696,77.784409",38000,454,18
1733154031,2024-12-02T15:40:31Z,AIC2886,"14.053236,77.804596",37975,453,18
1733154065,2024-12-02T15:41:05Z,AIC2886,"14.120178,77.827339",37975,454,18
1733154098,2024-12-02T15:41:38Z,AIC2886,"14.18591,77.849648",37975,454,18
1733154130,2024-12-02T15:42:10Z,AIC2886,"14.250431,77.87162",38000,454,18
1733154163,2024-12-02T15:42:43Z,AIC2886,"14.317017,77.894394",38025,456,18
1733154196,2024-12-02T15:43:16Z,AIC2886,"14.382873,77.916771",38000,457,18
1733154226,2024-12-02T15:43:46Z,AIC2886,"14.444595,77.937675",38000,458,17
1733154260,2024-12-02T15:44:20Z,AIC2886,"14.512241,77.954506",38000,458,10
1733154290,2024-12-02T15:44:50Z,AIC2886,"14.576623,77.965492",38050,458,9
1733154314,2024-12-02T15:45:14Z,AIC2886,"14.62662,77.978065",38025,457,20
