Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1738161566,2025-01-29T14:39:26Z,AIC2886,"10.152589,76.392982",0,8,90
1738161576,2025-01-29T14:39:36Z,AIC2886,"10.152601,76.393578",0,10,87
1738161588,2025-01-29T14:39:48Z,AIC2886,"10.152615,76.394165",0,11,87
1738161600,2025-01-29T14:40:00Z,AIC2886,"10.152647,76.394875",0,12,87
1738161608,2025-01-29T14:40:08Z,AIC2886,"10.152659,76.395348",0,13,90
1738161629,2025-01-29T14:40:29Z,AIC2886,"10.152718,76.396797",0,0,87
1738161639,2025-01-29T14:40:39Z,AIC2886,"10.15274,76.397575",0,16,90
1738161650,2025-01-29T14:40:50Z,AIC2886,"10.152763,76.397964",0,17,87
1738161740,2025-01-29T14:42:20Z,AIC2886,"10.153118,76.407677",0,24,87
1738161747,2025-01-29T14:42:27Z,AIC2886,"10.153136,76.408432",0,23,87
1738161755,2025-01-29T14:42:35Z,AIC2886,"10.153183,76.409355",0,23,87
1738161763,2025-01-29T14:42:43Z,AIC2886,"10.153206,76.410294",0,24,90
1738161770,2025-01-29T14:42:50Z,AIC2886,"10.153233,76.411102",0,25,87
1738161778,2025-01-29T14:42:58Z,AIC2886,"10.153275,76.411957",0,20,87
1738161785,2025-01-29T14:43:05Z,AIC2886,"10.153301,76.412544",0,14,90
1738161792,2025-01-29T14:43:12Z,AIC2886,"10.153301,76.412865",0,9,90
1738161798,2025-01-29T14:43:18Z,AIC2886,"10.153244,76.413101",0,9,106
1738161804,2025-01-29T14:43:24Z,AIC2886,"10.152973,76.413254",0,11,154
1738161809,2025-01-29T14:43:29Z,AIC2886,"10.15274,76.413277",0,12,174
1738161812,2025-01-29T14:43:32Z,AIC2886,"10.152512,76.413277",0,13,180
1738161816,2025-01-29T14:43:36Z,AIC2886,"10.15226,76.413284",0,14,180
1738161821,2025-01-29T14:43:41Z,AIC2886,"10.151997,76.413284",0,10,180
1738161827,2025-01-29T14:43:47Z,AIC2886,"10.151768,76.413261",0,7,185
1738161836,2025-01-29T14:43:56Z,AIC2886,"10.151573,76.41304",0,7,236
1738161844,2025-01-29T14:44:04Z,AIC2886,"10.151577,76.412834",0,7,264
1738161852,2025-01-29T14:44:12Z,AIC2886,"10.15155,76.412422",0,14,267
1738161865,2025-01-29T14:44:25Z,AIC2886,"10.151448,76.409508",0,0,267
1738161868,2025-01-29T14:44:28Z,AIC2886,"10.151413,76.408493",0,88,267
1738161893,2025-01-29T14:44:53Z,AIC2886,"10.150808,76.392578",275,159,267
1738161900,2025-01-29T14:45:00Z,AIC2886,"10.150589,76.386963",575,155,268
1738161907,2025-01-29T14:45:07Z,AIC2886,"10.150452,76.382309",825,154,268
1738161916,2025-01-29T14:45:16Z,AIC2886,"10.150406,76.376205",1150,155,269
1738161923,2025-01-29T14:45:23Z,AIC2886,"10.150343,76.371033",1300,164,269
1738161929,2025-01-29T14:45:29Z,AIC2886,"10.15039,76.365639",1450,172,270
1738161938,2025-01-29T14:45:38Z,AIC2886,"10.150436,76.358719",1675,183,270
1738161946,2025-01-29T14:45:46Z,AIC2886,"10.150483,76.351006",1900,194,270
1738161955,2025-01-29T14:45:55Z,AIC2886,"10.150543,76.342972",2100,206,270
1738161964,2025-01-29T14:46:04Z,AIC2886,"10.151088,76.334",2300,220,277
1738161966,2025-01-29T14:46:06Z,AIC2886,"10.151461,76.331963",2325,223,280
1738161968,2025-01-29T14:46:08Z,AIC2886,"10.152019,76.32988",2375,227,284
1738161970,2025-01-29T14:46:10Z,AIC2886,"10.152624,76.327896",2425,233,289
1738161972,2025-01-29T14:46:12Z,AIC2886,"10.15361,76.325516",2475,236,293
1738161974,2025-01-29T14:46:14Z,AIC2886,"10.154626,76.323441",2525,240,298
1738161976,2025-01-29T14:46:16Z,AIC2886,"10.155853,76.321373",2575,244,302
1738161978,2025-01-29T14:46:18Z,AIC2886,"10.157227,76.319458",2625,247,307
1738161980,2025-01-29T14:46:20Z,AIC2886,"10.159103,76.317276",2675,250,311
1738161982,2025-01-29T14:46:22Z,AIC2886,"10.160843,76.315598",2700,253,316
1738161985,2025-01-29T14:46:25Z,AIC2886,"10.162539,76.314209",2750,256,321
1738161987,2025-01-29T14:46:27Z,AIC2886,"10.164688,76.312759",2800,260,328
1738161989,2025-01-29T14:46:29Z,AIC2886,"10.167102,76.311417",2850,263,332
1738161991,2025-01-29T14:46:31Z,AIC2886,"10.169802,76.310181",2900,266,337
1738161993,2025-01-29T14:46:33Z,AIC2886,"10.172104,76.309402",2975,268,341
1738161995,2025-01-29T14:46:35Z,AIC2886,"10.175034,76.308662",3050,270,346
1738161998,2025-01-29T14:46:38Z,AIC2886,"10.177643,76.308289",3125,271,351
1738162000,2025-01-29T14:46:40Z,AIC2886,"10.179951,76.308098",3200,271,355
1738162002,2025-01-29T14:46:42Z,AIC2886,"10.182651,76.308144",3300,272,358
1738162004,2025-01-29T14:46:44Z,AIC2886,"10.185837,76.308525",3425,271,7
1738162006,2025-01-29T14:46:46Z,AIC2886,"10.188309,76.30899",3525,271,12
1738162008,2025-01-29T14:46:48Z,AIC2886,"10.19046,76.309639",3625,270,16
1738162010,2025-01-29T14:46:50Z,AIC2886,"10.193031,76.310562",3775,269,20
1738162013,2025-01-29T14:46:53Z,AIC2886,"10.195778,76.311699",3925,267,23
1738162015,2025-01-29T14:46:55Z,AIC2886,"10.198571,76.313026",4100,266,24
1738162017,2025-01-29T14:46:57Z,AIC2886,"10.20108,76.314247",4225,266,26
1738162019,2025-01-29T14:46:59Z,AIC2886,"10.202807,76.315109",4325,265,26
1738162021,2025-01-29T14:47:01Z,AIC2886,"10.205475,76.316528",4475,265,27
1738162023,2025-01-29T14:47:03Z,AIC2886,"10.207603,76.317619",4600,264,27
1738162025,2025-01-29T14:47:05Z,AIC2886,"10.209884,76.318848",4725,264,27
1738162028,2025-01-29T14:47:08Z,AIC2886,"10.212112,76.320023",4850,263,28
1738162030,2025-01-29T14:47:10Z,AIC2886,"10.214264,76.321182",4975,263,28
1738162032,2025-01-29T14:47:12Z,AIC2886,"10.216494,76.322403",5100,263,28
1738162034,2025-01-29T14:47:14Z,AIC2886,"10.218542,76.323486",5225,261,28
1738162036,2025-01-29T14:47:16Z,AIC2886,"10.221242,76.324913",5375,262,27
1738162038,2025-01-29T14:47:18Z,AIC2886,"10.223803,76.326286",5525,261,27
1738162053,2025-01-29T14:47:33Z,AIC2886,"10.239537,76.334473",6325,262,26
1738162066,2025-01-29T14:47:46Z,AIC2886,"10.253177,76.341339",6975,263,26
1738162079,2025-01-29T14:47:59Z,AIC2886,"10.268074,76.348778",7500,272,26
1738162094,2025-01-29T14:48:14Z,AIC2886,"10.285111,76.357208",8175,276,26
1738162106,2025-01-29T14:48:26Z,AIC2886,"10.299683,76.364449",8725,280,26
1738162119,2025-01-29T14:48:39Z,AIC2886,"10.315063,76.372063",9400,280,26
1738162132,2025-01-29T14:48:52Z,AIC2886,"10.33017,76.379562",10025,281,26
1738162146,2025-01-29T14:49:06Z,AIC2886,"10.346375,76.387558",10525,289,26
1738162158,2025-01-29T14:49:18Z,AIC2886,"10.362109,76.395424",10725,306,26
1738162172,2025-01-29T14:49:32Z,AIC2886,"10.379654,76.404182",10925,323,26
1738162185,2025-01-29T14:49:45Z,AIC2886,"10.397232,76.412895",11175,335,26
1738162198,2025-01-29T14:49:58Z,AIC2886,"10.415784,76.422081",11675,339,26
1738162211,2025-01-29T14:50:11Z,AIC2886,"10.435057,76.431648",12175,344,26
1738162243,2025-01-29T14:50:43Z,AIC2886,"10.481964,76.45665",13250,357,26
1738162274,2025-01-29T14:51:14Z,AIC2886,"10.528255,76.479347",14375,365,25
1738162307,2025-01-29T14:51:47Z,AIC2886,"10.578552,76.503723",15500,374,25
1738162339,2025-01-29T14:52:19Z,AIC2886,"10.62854,76.528252",16775,375,26
1738162369,2025-01-29T14:52:49Z,AIC2886,"10.676989,76.552208",17975,376,26
1738162400,2025-01-29T14:53:20Z,AIC2886,"10.72522,76.576172",19025,381,26
1738162431,2025-01-29T14:53:51Z,AIC2886,"10.775208,76.601227",19950,386,26
1738162463,2025-01-29T14:54:23Z,AIC2886,"10.826049,76.626648",21100,385,26
1738162496,2025-01-29T14:54:56Z,AIC2886,"10.879532,76.653412",21875,394,26
1738162527,2025-01-29T14:55:27Z,AIC2886,"10.931955,76.679604",22725,401,26
1738162559,2025-01-29T14:55:59Z,AIC2886,"10.985733,76.706497",23300,415,26
1738162590,2025-01-29T14:56:30Z,AIC2886,"11.040003,76.733574",24025,419,26
1738162623,2025-01-29T14:57:03Z,AIC2886,"11.098022,76.76252",24700,427,26
1738162654,2025-01-29T14:57:34Z,AIC2886,"11.152588,76.789886",25375,431,26
1738162685,2025-01-29T14:58:05Z,AIC2886,"11.209965,76.818573",26100,436,26
1738162718,2025-01-29T14:58:38Z,AIC2886,"11.269501,76.848419",26825,438,26
1738162750,2025-01-29T14:59:10Z,AIC2886,"11.329147,76.87825",27350,444,26
1738162781,2025-01-29T14:59:41Z,AIC2886,"11.386551,76.907043",27925,447,26
1738162811,2025-01-29T15:00:11Z,AIC2886,"11.44254,76.934364",28375,452,23
1738162843,2025-01-29T15:00:43Z,AIC2886,"11.506119,76.95842",28975,455,18
1738162875,2025-01-29T15:01:15Z,AIC2886,"11.571487,76.979973",29475,458,18
1738162907,2025-01-29T15:01:47Z,AIC2886,"11.636215,77.001328",30075,458,18
1738162938,2025-01-29T15:02:18Z,AIC2886,"11.698577,77.021919",30550,460,18
1738162971,2025-01-29T15:02:51Z,AIC2886,"11.765286,77.043938",30975,463,18
1738163003,2025-01-29T15:03:23Z,AIC2886,"11.8306,77.065475",31525,462,17
1738163033,2025-01-29T15:03:53Z,AIC2886,"11.892467,77.085907",32100,459,18
1738163066,2025-01-29T15:04:26Z,AIC2886,"11.958898,77.10788",32675,458,17
1738163098,2025-01-29T15:04:58Z,AIC2886,"12.023977,77.129372",33250,455,18
