Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1734184169,2024-12-14T13:49:29Z,AIC2886,"10.153078,76.390594",0,14,357
1734184183,2024-12-14T13:49:43Z,AIC2886,"10.153427,76.390106",0,13,264
1734184186,2024-12-14T13:49:46Z,AIC2886,"10.153461,76.389885",0,12,284
1734184191,2024-12-14T13:49:51Z,AIC2886,"10.153695,76.389717",0,13,337
1734184196,2024-12-14T13:49:56Z,AIC2886,"10.153928,76.38974",0,10,357
1734184204,2024-12-14T13:50:04Z,AIC2886,"10.154137,76.389725",0,4,357
1734186458,2024-12-14T14:27:38Z,AIC2886,"10.153908,76.389717",0,3,357
1734186477,2024-12-14T14:27:57Z,AIC2886,"10.153707,76.389748",0,3,16
1734186500,2024-12-14T14:28:20Z,AIC2886,"10.153484,76.389687",0,3,61
1734186529,2024-12-14T14:28:49Z,AIC2886,"10.153404,76.389473",0,1,87
1734186726,2024-12-14T14:32:06Z,AIC2886,"10.153416,76.389679",0,5,87
1734186735,2024-12-14T14:32:15Z,AIC2886,"10.153416,76.390022",0,9,87
1734186742,2024-12-14T14:32:22Z,AIC2886,"10.153404,76.390358",0,11,95
1734186749,2024-12-14T14:32:29Z,AIC2886,"10.15313,76.390572",0,12,157
1734186753,2024-12-14T14:32:33Z,AIC2886,"10.152912,76.390594",0,12,177
1734186758,2024-12-14T14:32:38Z,AIC2886,"10.152626,76.390511",0,12,205
1734186764,2024-12-14T14:32:44Z,AIC2886,"10.152461,76.390274",0,12,244
1734186769,2024-12-14T14:32:49Z,AIC2886,"10.152438,76.390038",0,12,267
1734186775,2024-12-14T14:32:55Z,AIC2886,"10.152427,76.389671",0,13,267
1734186782,2024-12-14T14:33:02Z,AIC2886,"10.152409,76.389175",0,15,267
1734186785,2024-12-14T14:33:05Z,AIC2886,"10.152397,76.388954",0,16,267
1734186788,2024-12-14T14:33:08Z,AIC2886,"10.152386,76.388687",0,16,267
1734186795,2024-12-14T14:33:15Z,AIC2886,"10.152374,76.388252",0,17,267
1734186802,2024-12-14T14:33:22Z,AIC2886,"10.152351,76.38768",0,18,267
1734186809,2024-12-14T14:33:29Z,AIC2886,"10.152322,76.386955",0,19,267
1734186816,2024-12-14T14:33:36Z,AIC2886,"10.152306,76.386436",0,20,267
1734186823,2024-12-14T14:33:43Z,AIC2886,"10.152283,76.385719",0,19,267
1734186831,2024-12-14T14:33:51Z,AIC2886,"10.15224,76.385277",0,10,255
1734186837,2024-12-14T14:33:57Z,AIC2886,"10.15202,76.385063",0,11,208
1734186843,2024-12-14T14:34:03Z,AIC2886,"10.151779,76.385056",0,12,180
1734186847,2024-12-14T14:34:07Z,AIC2886,"10.151573,76.385063",0,10,177
1734187046,2024-12-14T14:37:26Z,AIC2886,"10.151253,76.385086",0,10,177
1734187052,2024-12-14T14:37:32Z,AIC2886,"10.150829,76.385124",0,15,171
1734187058,2024-12-14T14:37:38Z,AIC2886,"10.150576,76.3853",0,13,140
1734187063,2024-12-14T14:37:43Z,AIC2886,"10.15052,76.385529",0,11,98
1734187068,2024-12-14T14:37:48Z,AIC2886,"10.150543,76.385742",0,8,84
1734187105,2024-12-14T14:38:25Z,AIC2886,"10.150555,76.386009",0,9,84
1734187111,2024-12-14T14:38:31Z,AIC2886,"10.150587,76.386978",0,41,87
1734187118,2024-12-14T14:38:38Z,AIC2886,"10.150681,76.389229",0,74,87
1734187126,2024-12-14T14:38:46Z,AIC2886,"10.150806,76.392792",0,110,87
1734187148,2024-12-14T14:39:08Z,AIC2886,"10.151181,76.407211",475,148,88
1734187156,2024-12-14T14:39:16Z,AIC2886,"10.15132,76.412613",800,147,88
1734187165,2024-12-14T14:39:25Z,AIC2886,"10.151459,76.418854",1150,145,88
1734187172,2024-12-14T14:39:32Z,AIC2886,"10.15155,76.423882",1400,146,88
1734187180,2024-12-14T14:39:40Z,AIC2886,"10.151647,76.42852",1650,147,88
1734187186,2024-12-14T14:39:46Z,AIC2886,"10.15174,76.433823",1825,152,89
1734187193,2024-12-14T14:39:53Z,AIC2886,"10.151779,76.439194",1950,161,89
1734187201,2024-12-14T14:40:01Z,AIC2886,"10.151825,76.44455",2150,169,89
1734187210,2024-12-14T14:40:10Z,AIC2886,"10.151825,76.451996",2375,180,90
1734187217,2024-12-14T14:40:17Z,AIC2886,"10.151833,76.458733",2625,191,89
1734187227,2024-12-14T14:40:27Z,AIC2886,"10.151926,76.467545",3000,202,89
1734187233,2024-12-14T14:40:33Z,AIC2886,"10.152054,76.473831",3250,209,88
1734187241,2024-12-14T14:40:41Z,AIC2886,"10.152251,76.481796",3600,219,88
1734187248,2024-12-14T14:40:48Z,AIC2886,"10.152485,76.487808",3925,225,87
1734187250,2024-12-14T14:40:50Z,AIC2886,"10.152832,76.491379",4050,228,83
1734187253,2024-12-14T14:40:53Z,AIC2886,"10.153322,76.493729",4175,227,79
1734187255,2024-12-14T14:40:55Z,AIC2886,"10.153975,76.496101",4275,229,75
1734187257,2024-12-14T14:40:57Z,AIC2886,"10.154984,76.49855",4425,229,71
1734187259,2024-12-14T14:40:59Z,AIC2886,"10.155789,76.500359",4525,231,65
1734187262,2024-12-14T14:41:02Z,AIC2886,"10.157684,76.503479",4700,232,59
1734187264,2024-12-14T14:41:04Z,AIC2886,"10.159195,76.505577",4825,234,55
1734187267,2024-12-14T14:41:07Z,AIC2886,"10.161283,76.507843",4950,236,49
1734187269,2024-12-14T14:41:09Z,AIC2886,"10.163098,76.509644",5050,239,45
1734187272,2024-12-14T14:41:12Z,AIC2886,"10.164262,76.510544",5150,242,42
1734187274,2024-12-14T14:41:14Z,AIC2886,"10.166496,76.51239",5200,245,38
1734187276,2024-12-14T14:41:16Z,AIC2886,"10.168265,76.513474",5275,249,35
1734187279,2024-12-14T14:41:19Z,AIC2886,"10.172409,76.515984",5400,256,30
1734187282,2024-12-14T14:41:22Z,AIC2886,"10.174942,76.517357",5475,261,28
1734187284,2024-12-14T14:41:24Z,AIC2886,"10.176773,76.518333",5525,262,27
1734187286,2024-12-14T14:41:26Z,AIC2886,"10.179565,76.51973",5600,267,27
1734187288,2024-12-14T14:41:28Z,AIC2886,"10.182816,76.521408",5700,269,26
1734187290,2024-12-14T14:41:30Z,AIC2886,"10.185013,76.52243",5750,272,26
1734187293,2024-12-14T14:41:33Z,AIC2886,"10.187911,76.523941",5850,275,26
1734187295,2024-12-14T14:41:35Z,AIC2886,"10.189121,76.524513",5925,275,26
1734187297,2024-12-14T14:41:37Z,AIC2886,"10.191915,76.525833",6000,277,25
1734187299,2024-12-14T14:41:39Z,AIC2886,"10.19426,76.526993",6075,279,25
1734187301,2024-12-14T14:41:41Z,AIC2886,"10.197372,76.528481",6200,280,25
1734187304,2024-12-14T14:41:44Z,AIC2886,"10.199844,76.529694",6300,281,25
1734187306,2024-12-14T14:41:46Z,AIC2886,"10.20282,76.531136",6425,283,25
1734187320,2024-12-14T14:42:00Z,AIC2886,"10.21803,76.538528",7175,283,26
1734187333,2024-12-14T14:42:13Z,AIC2886,"10.234818,76.547005",7875,286,27
1734187347,2024-12-14T14:42:27Z,AIC2886,"10.25071,76.555389",8625,287,27
1734187360,2024-12-14T14:42:40Z,AIC2886,"10.26796,76.564278",9425,287,26
1734187374,2024-12-14T14:42:54Z,AIC2886,"10.283066,76.571823",10175,286,26
1734187388,2024-12-14T14:43:08Z,AIC2886,"10.301147,76.580757",10675,296,25
1734187403,2024-12-14T14:43:23Z,AIC2886,"10.319138,76.589371",10975,313,25
1734187418,2024-12-14T14:43:38Z,AIC2886,"10.3396,76.599335",11250,332,25
1734187430,2024-12-14T14:43:50Z,AIC2886,"10.358385,76.608475",11450,347,25
1734187444,2024-12-14T14:44:04Z,AIC2886,"10.378961,76.618607",11650,364,25
1734187459,2024-12-14T14:44:19Z,AIC2886,"10.402084,76.630013",12025,374,25
1734187492,2024-12-14T14:44:52Z,AIC2886,"10.453125,76.655106",13250,380,26
1734187524,2024-12-14T14:45:24Z,AIC2886,"10.503721,76.685875",14375,388,34
1734187556,2024-12-14T14:45:56Z,AIC2886,"10.552368,76.719215",15325,398,34
1734187588,2024-12-14T14:46:28Z,AIC2886,"10.601074,76.752289",16450,400,34
1734187620,2024-12-14T14:47:00Z,AIC2886,"10.650192,76.786003",17275,408,34
1734187650,2024-12-14T14:47:30Z,AIC2886,"10.699265,76.81958",18175,414,34
1734187684,2024-12-14T14:48:04Z,AIC2886,"10.752182,76.855759",19075,421,34
1734187716,2024-12-14T14:48:36Z,AIC2886,"10.805511,76.892502",19850,428,34
1734187748,2024-12-14T14:49:08Z,AIC2886,"10.859024,76.929253",20650,434,34
1734187780,2024-12-14T14:49:40Z,AIC2886,"10.912497,76.965538",21325,440,34
1734187813,2024-12-14T14:50:13Z,AIC2886,"10.968063,77.003838",22175,442,34
1734187845,2024-12-14T14:50:45Z,AIC2886,"11.024002,77.040062",22875,446,28
1734187852,2024-12-14T14:50:52Z,AIC2886,"11.035446,77.045319",22975,450,23
1734187854,2024-12-14T14:50:54Z,AIC2886,"11.040344,77.047401",23000,450,22
1734187857,2024-12-14T14:50:57Z,AIC2886,"11.046846,77.049721",23075,452,19
1734187860,2024-12-14T14:51:00Z,AIC2886,"11.052429,77.05162",23100,454,18
1734187862,2024-12-14T14:51:02Z,AIC2886,"11.056732,77.052803",23150,454,16
1734187864,2024-12-14T14:51:04Z,AIC2886,"11.061975,77.054253",23200,455,15
1734187867,2024-12-14T14:51:07Z,AIC2886,"11.067444,77.05545",23250,455,13
1734187869,2024-12-14T14:51:09Z,AIC2886,"11.072571,77.056686",23300,456,12
1734187871,2024-12-14T14:51:11Z,AIC2886,"11.075755,77.057335",23350,456,12
1734187874,2024-12-14T14:51:14Z,AIC2886,"11.080261,77.058342",23425,456,12
1734187876,2024-12-14T14:51:16Z,AIC2886,"11.084152,77.059151",23475,456,12
1734187878,2024-12-14T14:51:18Z,AIC2886,"11.089115,77.060272",23550,456,12
1734187880,2024-12-14T14:51:20Z,AIC2886,"11.093631,77.061188",23600,455,12
1734187882,2024-12-14T14:51:22Z,AIC2886,"11.09761,77.06208",23675,454,12
1734187884,2024-12-14T14:51:24Z,AIC2886,"11.102783,77.063271",23750,453,12
1734187916,2024-12-14T14:51:56Z,AIC2886,"11.167877,77.077614",24350,455,12
1734187948,2024-12-14T14:52:28Z,AIC2886,"11.234665,77.091965",24875,458,12
1734187981,2024-12-14T14:53:01Z,AIC2886,"11.30293,77.106773",25425,456,12
1734188013,2024-12-14T14:53:33Z,AIC2886,"11.370483,77.121513",25825,460,12
1734188044,2024-12-14T14:54:04Z,AIC2886,"11.434708,77.135437",26125,465,12
1734188076,2024-12-14T14:54:36Z,AIC2886,"11.50357,77.150475",26425,470,12
1734188108,2024-12-14T14:55:08Z,AIC2886,"11.571304,77.165176",26975,468,12
1734188140,2024-12-14T14:55:40Z,AIC2886,"11.639176,77.180595",27500,466,14
1734188172,2024-12-14T14:56:12Z,AIC2886,"11.705154,77.198181",27850,470,14
1734188203,2024-12-14T14:56:43Z,AIC2886,"11.771571,77.215866",28375,467,14
1734188234,2024-12-14T14:57:14Z,AIC2886,"11.836605,77.233307",28775,468,14
1734188267,2024-12-14T14:57:47Z,AIC2886,"11.904236,77.251457",29150,469,14
1734188299,2024-12-14T14:58:19Z,AIC2886,"11.973587,77.269974",29550,471,14
1734188330,2024-12-14T14:58:50Z,AIC2886,"12.038818,77.287537",30000,472,14
1734188361,2024-12-14T14:59:21Z,AIC2886,"12.104462,77.305107",30500,472,14
1734188393,2024-12-14T14:59:53Z,AIC2886,"12.173596,77.323753",31025,471,14
1734188426,2024-12-14T15:00:26Z,AIC2886,"12.240784,77.341858",31725,469,14
1734188456,2024-12-14T15:00:56Z,AIC2886,"12.303989,77.358833",32450,464,14
1734188487,2024-12-14T15:01:27Z,AIC2886,"12.370239,77.376663",32900,464,14
1734188517,2024-12-14T15:01:57Z,AIC2886,"12.433638,77.393715",33625,459,14
1734188550,2024-12-14T15:02:30Z,AIC2886,"12.499603,77.41156",34175,460,14
1734188582,2024-12-14T15:03:02Z,AIC2886,"12.567032,77.429749",34700,458,14
1734188613,2024-12-14T15:03:33Z,AIC2886,"12.630786,77.446915",35200,458,14
