Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1734015975,2024-12-12T15:06:15Z,AIC2886,"10.153999,76.388802",0,2,357
1734016004,2024-12-12T15:06:44Z,AIC2886,"10.153725,76.388824",0,2,19
1734016031,2024-12-12T15:07:11Z,AIC2886,"10.153521,76.388779",0,2,53
1734016079,2024-12-12T15:07:59Z,AIC2886,"10.153404,76.388565",0,1,78
1734016373,2024-12-12T15:12:53Z,AIC2886,"10.153381,76.388802",0,7,87
1734016381,2024-12-12T15:13:01Z,AIC2886,"10.153393,76.38903",0,9,87
1734016393,2024-12-12T15:13:13Z,AIC2886,"10.153416,76.389641",0,11,87
1734016402,2024-12-12T15:13:22Z,AIC2886,"10.153427,76.390083",0,11,87
1734016410,2024-12-12T15:13:30Z,AIC2886,"10.153416,76.390404",0,8,98
1734016418,2024-12-12T15:13:38Z,AIC2886,"10.153136,76.390564",0,9,165
1734016423,2024-12-12T15:13:43Z,AIC2886,"10.152935,76.390579",0,9,177
1734016429,2024-12-12T15:13:49Z,AIC2886,"10.152718,76.390579",0,10,180
1734016444,2024-12-12T15:14:04Z,AIC2886,"10.152443,76.390137",0,0,261
1734016458,2024-12-12T15:14:18Z,AIC2886,"10.152427,76.389565",0,10,267
1734016466,2024-12-12T15:14:26Z,AIC2886,"10.152414,76.389229",0,0,267
1734016477,2024-12-12T15:14:37Z,AIC2886,"10.152397,76.388557",0,13,267
1734016486,2024-12-12T15:14:46Z,AIC2886,"10.152368,76.387917",0,15,267
1734016493,2024-12-12T15:14:53Z,AIC2886,"10.152356,76.387451",0,16,267
1734016501,2024-12-12T15:15:01Z,AIC2886,"10.152328,76.386879",0,17,267
1734016509,2024-12-12T15:15:09Z,AIC2886,"10.152309,76.386292",0,16,267
1734016517,2024-12-12T15:15:17Z,AIC2886,"10.152298,76.385796",0,12,267
1734016524,2024-12-12T15:15:24Z,AIC2886,"10.152283,76.385475",0,11,270
1734016530,2024-12-12T15:15:30Z,AIC2886,"10.15224,76.385254",0,9,250
1734016537,2024-12-12T15:15:37Z,AIC2886,"10.152007,76.385086",0,9,208
1734016542,2024-12-12T15:15:42Z,AIC2886,"10.151798,76.385063",0,10,185
1734016547,2024-12-12T15:15:47Z,AIC2886,"10.151562,76.385063",0,12,180
1734016551,2024-12-12T15:15:51Z,AIC2886,"10.15131,76.385078",0,13,177
1734016555,2024-12-12T15:15:55Z,AIC2886,"10.151088,76.385086",0,14,177
1734016560,2024-12-12T15:16:00Z,AIC2886,"10.150841,76.385109",0,11,174
1734016565,2024-12-12T15:16:05Z,AIC2886,"10.150623,76.385178",0,9,151
1734016571,2024-12-12T15:16:11Z,AIC2886,"10.150541,76.385391",0,9,101
1734016576,2024-12-12T15:16:16Z,AIC2886,"10.150543,76.385612",0,9,87
1734016583,2024-12-12T15:16:23Z,AIC2886,"10.150564,76.386002",0,14,87
1734016586,2024-12-12T15:16:26Z,AIC2886,"10.150578,76.386261",0,21,87
1734016587,2024-12-12T15:16:27Z,AIC2886,"10.150587,76.386581",0,30,87
1734016589,2024-12-12T15:16:29Z,AIC2886,"10.1506,76.386833",0,35,87
1734016590,2024-12-12T15:16:30Z,AIC2886,"10.150612,76.387161",0,46,87
1734016593,2024-12-12T15:16:33Z,AIC2886,"10.150634,76.387955",0,56,87
1734016596,2024-12-12T15:16:36Z,AIC2886,"10.150658,76.388687",0,66,87
1734016597,2024-12-12T15:16:37Z,AIC2886,"10.150681,76.389229",0,76,87
1734016600,2024-12-12T15:16:40Z,AIC2886,"10.150727,76.390511",0,90,87
1734016626,2024-12-12T15:17:06Z,AIC2886,"10.151228,76.406357",600,147,88
1734016634,2024-12-12T15:17:14Z,AIC2886,"10.151461,76.412277",925,144,87
1734016641,2024-12-12T15:17:21Z,AIC2886,"10.151647,76.417252",1225,140,87
1734016650,2024-12-12T15:17:30Z,AIC2886,"10.151871,76.422806",1475,149,87
1734016657,2024-12-12T15:17:37Z,AIC2886,"10.152145,76.428673",1700,158,87
1734016664,2024-12-12T15:17:44Z,AIC2886,"10.15242,76.434212",1900,166,86
1734016672,2024-12-12T15:17:52Z,AIC2886,"10.152857,76.440079",2150,176,85
1734016679,2024-12-12T15:17:59Z,AIC2886,"10.153336,76.446083",2425,182,85
1734016687,2024-12-12T15:18:07Z,AIC2886,"10.153976,76.453621",2850,186,85
1734016696,2024-12-12T15:18:16Z,AIC2886,"10.154487,76.460297",3200,192,85
1734016702,2024-12-12T15:18:22Z,AIC2886,"10.155029,76.466751",3550,195,84
1734016707,2024-12-12T15:18:27Z,AIC2886,"10.155976,76.470955",3775,197,78
1734016709,2024-12-12T15:18:29Z,AIC2886,"10.156586,76.47271",3875,197,71
1734016711,2024-12-12T15:18:31Z,AIC2886,"10.157699,76.475021",4000,198,66
1734016713,2024-12-12T15:18:33Z,AIC2886,"10.158417,76.47625",4075,199,62
1734016715,2024-12-12T15:18:35Z,AIC2886,"10.159195,76.477409",4175,202,57
1734016719,2024-12-12T15:18:39Z,AIC2886,"10.16119,76.479858",4300,205,51
1734016721,2024-12-12T15:18:41Z,AIC2886,"10.162994,76.481697",4400,207,46
1734016723,2024-12-12T15:18:43Z,AIC2886,"10.164774,76.48317",4475,212,40
1734016726,2024-12-12T15:18:46Z,AIC2886,"10.166869,76.484634",4525,215,36
1734016728,2024-12-12T15:18:48Z,AIC2886,"10.168731,76.485725",4575,222,32
1734016730,2024-12-12T15:18:50Z,AIC2886,"10.170966,76.486725",4625,226,26
1734016732,2024-12-12T15:18:52Z,AIC2886,"10.17334,76.487656",4700,230,22
1734016734,2024-12-12T15:18:54Z,AIC2886,"10.176133,76.488426",4750,234,18
1734016737,2024-12-12T15:18:57Z,AIC2886,"10.178284,76.488861",4800,240,12
1734016739,2024-12-12T15:18:59Z,AIC2886,"10.179382,76.489006",4900,241,10
1734016741,2024-12-12T15:19:01Z,AIC2886,"10.182697,76.489326",5000,244,6
1734016743,2024-12-12T15:19:03Z,AIC2886,"10.184792,76.489418",5125,245,4
1734016745,2024-12-12T15:19:05Z,AIC2886,"10.187911,76.489655",5275,245,3
1734016747,2024-12-12T15:19:07Z,AIC2886,"10.190369,76.489845",5425,245,3
1734016750,2024-12-12T15:19:10Z,AIC2886,"10.192892,76.490036",5550,245,4
1734016752,2024-12-12T15:19:12Z,AIC2886,"10.195129,76.490211",5650,246,4
1734016754,2024-12-12T15:19:14Z,AIC2886,"10.197686,76.490417",5775,244,4
1734016756,2024-12-12T15:19:16Z,AIC2886,"10.199844,76.490631",5900,244,4
1734016758,2024-12-12T15:19:18Z,AIC2886,"10.203232,76.490913",6075,244,4
1734016760,2024-12-12T15:19:20Z,AIC2886,"10.205368,76.491081",6200,243,4
1734016763,2024-12-12T15:19:23Z,AIC2886,"10.206619,76.491196",6350,243,4
1734016765,2024-12-12T15:19:25Z,AIC2886,"10.209137,76.49147",6450,243,5
1734016772,2024-12-12T15:19:32Z,AIC2886,"10.217332,76.493401",6875,240,15
1734016774,2024-12-12T15:19:34Z,AIC2886,"10.219473,76.494247",7000,237,20
1734016776,2024-12-12T15:19:36Z,AIC2886,"10.221568,76.495201",7125,238,23
1734016778,2024-12-12T15:19:38Z,AIC2886,"10.223969,76.496315",7250,236,24
1734016781,2024-12-12T15:19:41Z,AIC2886,"10.227036,76.497894",7425,236,26
1734016784,2024-12-12T15:19:44Z,AIC2886,"10.229782,76.499435",7575,236,27
1734016786,2024-12-12T15:19:46Z,AIC2886,"10.230972,76.500038",7725,237,28
1734016788,2024-12-12T15:19:48Z,AIC2886,"10.233353,76.501434",7825,237,28
1734016791,2024-12-12T15:19:51Z,AIC2886,"10.23544,76.502586",7925,238,29
1734016793,2024-12-12T15:19:53Z,AIC2886,"10.237862,76.50396",8025,239,29
1734016795,2024-12-12T15:19:55Z,AIC2886,"10.239807,76.505066",8100,241,29
1734016797,2024-12-12T15:19:57Z,AIC2886,"10.241913,76.506134",8175,243,29
1734016799,2024-12-12T15:19:59Z,AIC2886,"10.244339,76.507622",8250,245,29
1734016801,2024-12-12T15:20:01Z,AIC2886,"10.246892,76.508934",8325,249,29
1734016815,2024-12-12T15:20:15Z,AIC2886,"10.260452,76.516655",8825,261,29
1734016829,2024-12-12T15:20:29Z,AIC2886,"10.276546,76.525787",9725,260,29
1734016844,2024-12-12T15:20:44Z,AIC2886,"10.291672,76.534157",10475,264,28
1734016859,2024-12-12T15:20:59Z,AIC2886,"10.306759,76.542603",11275,265,28
1734016873,2024-12-12T15:21:13Z,AIC2886,"10.324173,76.551895",12000,268,28
1734016905,2024-12-12T15:21:45Z,AIC2886,"10.360016,76.571915",13150,293,29
1734016937,2024-12-12T15:22:17Z,AIC2886,"10.402222,76.590347",13675,338,21
1734016970,2024-12-12T15:22:50Z,AIC2886,"10.453398,76.610603",14875,356,21
1734017003,2024-12-12T15:23:23Z,AIC2886,"10.503616,76.63073",16125,370,21
1734017034,2024-12-12T15:23:54Z,AIC2886,"10.555161,76.651222",17425,376,21
1734017066,2024-12-12T15:24:26Z,AIC2886,"10.60851,76.672478",18800,378,21
1734017097,2024-12-12T15:24:57Z,AIC2886,"10.658973,76.692619",19875,384,21
1734017129,2024-12-12T15:25:29Z,AIC2886,"10.711899,76.713791",20875,390,21
1734017162,2024-12-12T15:26:02Z,AIC2886,"10.767905,76.73613",22050,392,21
1734017193,2024-12-12T15:26:33Z,AIC2886,"10.821999,76.757858",23000,398,21
1734017225,2024-12-12T15:27:05Z,AIC2886,"10.876744,76.779785",23775,407,21
1734017257,2024-12-12T15:27:37Z,AIC2886,"10.93377,76.802429",24600,414,21
1734017289,2024-12-12T15:28:09Z,AIC2886,"10.992096,76.825874",25225,426,21
1734017320,2024-12-12T15:28:40Z,AIC2886,"11.050095,76.849037",25725,438,21
1734017353,2024-12-12T15:29:13Z,AIC2886,"11.112532,76.874084",26375,444,21
1734017384,2024-12-12T15:29:44Z,AIC2886,"11.172867,76.898285",27025,448,21
1734017416,2024-12-12T15:30:16Z,AIC2886,"11.234871,76.923134",27575,454,21
1734017447,2024-12-12T15:30:47Z,AIC2886,"11.297424,76.948151",27975,462,21
1734017479,2024-12-12T15:31:19Z,AIC2886,"11.360687,76.973526",28000,461,21
1734017511,2024-12-12T15:31:51Z,AIC2886,"11.4235,76.998741",27975,457,21
1734017542,2024-12-12T15:32:22Z,AIC2886,"11.483047,77.022591",27975,438,21
