Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1732375261,2024-11-23T15:21:01Z,AIC2886,"10.1544,76.391579",0,0,357
1732375352,2024-11-23T15:22:32Z,AIC2886,"10.154183,76.391571",0,1,357
1732375382,2024-11-23T15:23:02Z,AIC2886,"10.153962,76.391594",0,1,8
1732375413,2024-11-23T15:23:33Z,AIC2886,"10.153748,76.391579",0,1,30
1732375440,2024-11-23T15:24:00Z,AIC2886,"10.153543,76.391502",0,1,61
1732375731,2024-11-23T15:28:51Z,AIC2886,"10.153474,76.391907",0,0,87
1732375789,2024-11-23T15:29:49Z,AIC2886,"10.152626,76.395508",0,15,115
1732375805,2024-11-23T15:30:05Z,AIC2886,"10.152672,76.397018",0,0,87
1732375894,2024-11-23T15:31:34Z,AIC2886,"10.153101,76.408905",0,26,87
1732375900,2024-11-23T15:31:40Z,AIC2886,"10.153141,76.40963",0,23,87
1732375908,2024-11-23T15:31:48Z,AIC2886,"10.153164,76.410309",0,22,87
1732375915,2024-11-23T15:31:55Z,AIC2886,"10.153194,76.411049",0,21,90
1732375923,2024-11-23T15:32:03Z,AIC2886,"10.153221,76.411987",0,22,87
1732375930,2024-11-23T15:32:10Z,AIC2886,"10.153241,76.412804",0,23,87
1732375938,2024-11-23T15:32:18Z,AIC2886,"10.153278,76.413612",0,23,87
1732375944,2024-11-23T15:32:24Z,AIC2886,"10.153299,76.414375",0,24,87
1732375950,2024-11-23T15:32:30Z,AIC2886,"10.153336,76.415054",0,20,87
1732375958,2024-11-23T15:32:38Z,AIC2886,"10.153381,76.415588",0,14,87
1732375962,2024-11-23T15:32:42Z,AIC2886,"10.153324,76.415802",0,10,106
1732375967,2024-11-23T15:32:47Z,AIC2886,"10.153113,76.415916",0,9,151
1732375974,2024-11-23T15:32:54Z,AIC2886,"10.152889,76.415886",0,6,182
1732375984,2024-11-23T15:33:04Z,AIC2886,"10.152672,76.415886",0,3,177
1732375999,2024-11-23T15:33:19Z,AIC2886,"10.15242,76.415894",0,5,177
1732376009,2024-11-23T15:33:29Z,AIC2886,"10.152122,76.415909",0,7,177
1732376019,2024-11-23T15:33:39Z,AIC2886,"10.151802,76.415909",0,7,180
1732376031,2024-11-23T15:33:51Z,AIC2886,"10.15163,76.415672",0,5,244
1732376067,2024-11-23T15:34:27Z,AIC2886,"10.151635,76.415451",0,3,267
1732376074,2024-11-23T15:34:34Z,AIC2886,"10.151611,76.41494",0,20,267
1732376081,2024-11-23T15:34:41Z,AIC2886,"10.151553,76.413406",0,53,267
1732376116,2024-11-23T15:35:16Z,AIC2886,"10.150772,76.39222",375,160,267
1732376123,2024-11-23T15:35:23Z,AIC2886,"10.150589,76.387192",625,159,267
1732376130,2024-11-23T15:35:30Z,AIC2886,"10.150343,76.382164",825,161,267
1732376136,2024-11-23T15:35:36Z,AIC2886,"10.150064,76.377045",975,167,266
1732376143,2024-11-23T15:35:43Z,AIC2886,"10.149738,76.371506",1100,177,266
1732376149,2024-11-23T15:35:49Z,AIC2886,"10.149459,76.366249",1200,186,267
1732376158,2024-11-23T15:35:58Z,AIC2886,"10.149124,76.357491",1425,198,267
1732376165,2024-11-23T15:36:05Z,AIC2886,"10.148947,76.351715",1550,205,268
1732376174,2024-11-23T15:36:14Z,AIC2886,"10.148667,76.342384",1750,218,268
1732376180,2024-11-23T15:36:20Z,AIC2886,"10.148438,76.335892",1900,226,267
1732376189,2024-11-23T15:36:29Z,AIC2886,"10.148071,76.32663",2175,235,267
1732376197,2024-11-23T15:36:37Z,AIC2886,"10.147659,76.316856",2525,241,267
1732376204,2024-11-23T15:36:44Z,AIC2886,"10.147364,76.309517",2775,244,267
1732376212,2024-11-23T15:36:52Z,AIC2886,"10.14727,76.299622",3150,247,271
1732376214,2024-11-23T15:36:54Z,AIC2886,"10.147476,76.297348",3225,247,274
1732376216,2024-11-23T15:36:56Z,AIC2886,"10.147923,76.29451",3350,248,277
1732376219,2024-11-23T15:36:59Z,AIC2886,"10.148481,76.292236",3425,248,281
1732376221,2024-11-23T15:37:01Z,AIC2886,"10.149445,76.289391",3550,247,287
1732376223,2024-11-23T15:37:03Z,AIC2886,"10.150529,76.286743",3675,247,291
1732376225,2024-11-23T15:37:05Z,AIC2886,"10.151596,76.284737",3775,248,295
1732376228,2024-11-23T15:37:08Z,AIC2886,"10.152763,76.282761",3875,247,299
1732376230,2024-11-23T15:37:10Z,AIC2886,"10.154673,76.280113",4025,247,305
1732376232,2024-11-23T15:37:12Z,AIC2886,"10.156265,76.278214",4125,247,309
1732376235,2024-11-23T15:37:15Z,AIC2886,"10.157885,76.276558",4225,246,313
1732376237,2024-11-23T15:37:17Z,AIC2886,"10.160202,76.274536",4350,246,317
1732376239,2024-11-23T15:37:19Z,AIC2886,"10.16153,76.273468",4425,246,321
1732376241,2024-11-23T15:37:21Z,AIC2886,"10.164216,76.271774",4575,246,325
1732376243,2024-11-23T15:37:23Z,AIC2886,"10.166357,76.270645",4675,244,330
1732376245,2024-11-23T15:37:25Z,AIC2886,"10.168545,76.269646",4775,245,334
1732376247,2024-11-23T15:37:27Z,AIC2886,"10.170593,76.26886",4875,244,338
1732376250,2024-11-23T15:37:30Z,AIC2886,"10.172874,76.268227",4975,244,342
1732376252,2024-11-23T15:37:32Z,AIC2886,"10.175674,76.267601",5125,243,347
1732376254,2024-11-23T15:37:34Z,AIC2886,"10.178375,76.267181",5250,243,350
1732376256,2024-11-23T15:37:36Z,AIC2886,"10.180389,76.266907",5325,243,352
1732376259,2024-11-23T15:37:39Z,AIC2886,"10.183163,76.266617",5450,243,353
1732376261,2024-11-23T15:37:41Z,AIC2886,"10.185471,76.266388",5550,244,354
1732376263,2024-11-23T15:37:43Z,AIC2886,"10.187352,76.266235",5625,243,355
1732376266,2024-11-23T15:37:46Z,AIC2886,"10.191238,76.265976",5800,244,355
1732376268,2024-11-23T15:37:48Z,AIC2886,"10.193848,76.265785",5925,244,356
1732376270,2024-11-23T15:37:50Z,AIC2886,"10.195999,76.265602",6000,245,356
1732376272,2024-11-23T15:37:52Z,AIC2886,"10.198425,76.265457",6100,245,356
1732376274,2024-11-23T15:37:54Z,AIC2886,"10.200943,76.265274",6200,246,356
1732376277,2024-11-23T15:37:57Z,AIC2886,"10.20369,76.265091",6325,247,356
1732376279,2024-11-23T15:37:59Z,AIC2886,"10.206116,76.264946",6400,247,356
1732376295,2024-11-23T15:38:15Z,AIC2886,"10.225388,76.263741",7225,249,356
1732376309,2024-11-23T15:38:29Z,AIC2886,"10.241455,76.262856",7925,250,356
1732376322,2024-11-23T15:38:42Z,AIC2886,"10.255691,76.26207",8525,252,357
1732376336,2024-11-23T15:38:56Z,AIC2886,"10.272812,76.261505",9125,259,358
1732376349,2024-11-23T15:39:09Z,AIC2886,"10.288045,76.260933",9725,260,357
1732376363,2024-11-23T15:39:23Z,AIC2886,"10.305084,76.259827",10475,257,357
1732376374,2024-11-23T15:39:34Z,AIC2886,"10.318176,76.260849",11025,254,9
1732376377,2024-11-23T15:39:37Z,AIC2886,"10.322205,76.26178",11175,254,12
1732376379,2024-11-23T15:39:39Z,AIC2886,"10.324631,76.26239",11250,254,13
1732376382,2024-11-23T15:39:42Z,AIC2886,"10.32724,76.263084",11350,254,14
1732376384,2024-11-23T15:39:44Z,AIC2886,"10.329437,76.263641",11425,255,14
1732376386,2024-11-23T15:39:46Z,AIC2886,"10.332269,76.264435",11500,258,15
1732376388,2024-11-23T15:39:48Z,AIC2886,"10.334504,76.265053",11525,260,15
1732376390,2024-11-23T15:39:50Z,AIC2886,"10.337111,76.265808",11575,262,15
1732376393,2024-11-23T15:39:53Z,AIC2886,"10.341254,76.266998",11625,266,15
1732376396,2024-11-23T15:39:56Z,AIC2886,"10.343534,76.267654",11675,269,15
1732376398,2024-11-23T15:39:58Z,AIC2886,"10.345825,76.268303",11700,271,16
1732376400,2024-11-23T15:40:00Z,AIC2886,"10.348892,76.269188",11750,274,16
1732376402,2024-11-23T15:40:02Z,AIC2886,"10.350998,76.269791",11775,278,16
1732376417,2024-11-23T15:40:17Z,AIC2886,"10.370911,76.275978",12025,295,18
1732376426,2024-11-23T15:40:26Z,AIC2886,"10.381987,76.280968",12175,304,25
1732376428,2024-11-23T15:40:28Z,AIC2886,"10.38446,76.282265",12200,305,27
1732376430,2024-11-23T15:40:30Z,AIC2886,"10.387344,76.283897",12250,307,28
1732376432,2024-11-23T15:40:32Z,AIC2886,"10.389999,76.285385",12275,309,28
1732376434,2024-11-23T15:40:34Z,AIC2886,"10.392563,76.286827",12325,311,29
1732376436,2024-11-23T15:40:36Z,AIC2886,"10.395218,76.288315",12350,315,29
1732376438,2024-11-23T15:40:38Z,AIC2886,"10.397861,76.289818",12375,317,29
1732376440,2024-11-23T15:40:40Z,AIC2886,"10.400391,76.291298",12400,319,29
1732376442,2024-11-23T15:40:42Z,AIC2886,"10.403214,76.2929",12425,321,29
1732376445,2024-11-23T15:40:45Z,AIC2886,"10.40624,76.294601",12450,324,29
1732376476,2024-11-23T15:41:16Z,AIC2886,"10.449255,76.319084",13200,348,29
1732376507,2024-11-23T15:41:47Z,AIC2886,"10.493362,76.344086",14575,348,29
1732376540,2024-11-23T15:42:20Z,AIC2886,"10.539276,76.370178",15675,356,29
1732376571,2024-11-23T15:42:51Z,AIC2886,"10.585793,76.39666",16800,361,29
1732376602,2024-11-23T15:43:22Z,AIC2886,"10.630901,76.422249",17925,362,29
1732376634,2024-11-23T15:43:54Z,AIC2886,"10.678528,76.449409",18750,372,29
1732376665,2024-11-23T15:44:25Z,AIC2886,"10.726822,76.476875",19575,382,29
1732376698,2024-11-23T15:44:58Z,AIC2886,"10.777215,76.505516",20425,388,29
1732376731,2024-11-23T15:45:31Z,AIC2886,"10.830611,76.535774",21525,389,29
1732376761,2024-11-23T15:46:01Z,AIC2886,"10.878067,76.562866",22225,396,29
1732376793,2024-11-23T15:46:33Z,AIC2886,"10.929115,76.591957",23000,400,29
1732376823,2024-11-23T15:47:03Z,AIC2886,"10.978271,76.620026",23900,402,29
1732376857,2024-11-23T15:47:37Z,AIC2886,"11.032425,76.650902",24600,409,29
1732376887,2024-11-23T15:48:07Z,AIC2886,"11.083282,76.679886",25200,418,29
1732376920,2024-11-23T15:48:40Z,AIC2886,"11.139359,76.711891",25800,425,29
1732376951,2024-11-23T15:49:11Z,AIC2886,"11.19429,76.743385",26350,433,29
1732376982,2024-11-23T15:49:42Z,AIC2886,"11.24851,76.774391",26775,441,29
1732377014,2024-11-23T15:50:14Z,AIC2886,"11.306189,76.80735",27400,444,29
1732377049,2024-11-23T15:50:49Z,AIC2886,"11.368429,76.842911",27975,450,29
1732377079,2024-11-23T15:51:19Z,AIC2886,"11.422623,76.87394",28350,454,29
1732377112,2024-11-23T15:51:52Z,AIC2886,"11.485694,76.909935",28825,458,29
1732377145,2024-11-23T15:52:25Z,AIC2886,"11.545979,76.94458",29225,464,29
1732377176,2024-11-23T15:52:56Z,AIC2886,"11.606031,76.978935",29550,469,29
1732377207,2024-11-23T15:53:27Z,AIC2886,"11.664315,77.012329",29975,471,29
1732377238,2024-11-23T15:53:58Z,AIC2886,"11.723785,77.046501",30450,473,29
1732377269,2024-11-23T15:54:29Z,AIC2886,"11.783386,77.080788",30825,476,29
1732377302,2024-11-23T15:55:02Z,AIC2886,"11.846241,77.116943",31250,479,29
1732377332,2024-11-23T15:55:32Z,AIC2886,"11.905129,77.150673",31750,478,29
1732377364,2024-11-23T15:56:04Z,AIC2886,"11.96727,77.186485",32000,476,29
1732377395,2024-11-23T15:56:35Z,AIC2886,"12.026047,77.220299",32000,476,29
1732377427,2024-11-23T15:57:07Z,AIC2886,"12.087614,77.25499",32175,477,26
1732377463,2024-11-23T15:57:43Z,AIC2886,"12.160282,77.284431",32700,479,17
1732377495,2024-11-23T15:58:15Z,AIC2886,"12.231674,77.30497",33125,480,15
1732377526,2024-11-23T15:58:46Z,AIC2886,"12.298279,77.324005",33800,475,15
1732377557,2024-11-23T15:59:17Z,AIC2886,"12.363693,77.342705",34000,471,15
1732377589,2024-11-23T15:59:49Z,AIC2886,"12.429308,77.361389",34000,474,15
1732377623,2024-11-23T16:00:23Z,AIC2886,"12.502991,77.382347",34000,474,15
1732377654,2024-11-23T16:00:54Z,AIC2886,"12.568954,77.401192",34000,474,15
1732377686,2024-11-23T16:01:26Z,AIC2886,"12.635814,77.420219",34000,474,15
1732377719,2024-11-23T16:01:59Z,AIC2886,"12.705917,77.440262",34000,474,15
1732377752,2024-11-23T16:02:32Z,AIC2886,"12.776093,77.460243",34000,473,15
1732377786,2024-11-23T16:03:06Z,AIC2886,"12.847412,77.480606",34000,470,15
1732377819,2024-11-23T16:03:39Z,AIC2886,"12.917687,77.500694",34000,474,15
1732377849,2024-11-23T16:04:09Z,AIC2886,"12.981445,77.518913",34000,475,15
1732377883,2024-11-23T16:04:43Z,AIC2886,"13.052948,77.539467",34025,476,15
1732377913,2024-11-23T16:05:13Z,AIC2886,"13.117584,77.557938",34050,478,15
1732377945,2024-11-23T16:05:45Z,AIC2886,"13.185549,77.577354",34050,476,15
1732377975,2024-11-23T16:06:15Z,AIC2886,"13.250793,77.596008",34050,475,15
1732378006,2024-11-23T16:06:46Z,AIC2886,"13.315662,77.614555",34025,474,15
1732378039,2024-11-23T16:07:19Z,AIC2886,"13.386049,77.634743",33975,473,15
1732378070,2024-11-23T16:07:50Z,AIC2886,"13.451641,77.653534",33975,473,15
1732378101,2024-11-23T16:08:21Z,AIC2886,"13.517212,77.672394",33975,472,15
1732378134,2024-11-23T16:08:54Z,AIC2886,"13.584915,77.691856",33975,472,15
1732378164,2024-11-23T16:09:24Z,AIC2886,"13.649117,77.710251",33975,471,15
1732378197,2024-11-23T16:09:57Z,AIC2886,"13.719922,77.730492",34000,471,15
1732378231,2024-11-23T16:10:31Z,AIC2886,"13.790771,77.750954",33975,471,15
1732378263,2024-11-23T16:11:03Z,AIC2886,"13.857484,77.770142",34000,471,15
1732378293,2024-11-23T16:11:33Z,AIC2886,"13.921912,77.788742",34000,471,15
1732378326,2024-11-23T16:12:06Z,AIC2886,"13.991547,77.808777",34000,471,15
1732378360,2024-11-23T16:12:40Z,AIC2886,"14.062271,77.829231",34000,470,15
1732378390,2024-11-23T16:13:10Z,AIC2886,"14.125671,77.847534",34000,470,15
1732378423,2024-11-23T16:13:43Z,AIC2886,"14.195454,77.867676",33975,470,15
1732378457,2024-11-23T16:14:17Z,AIC2886,"14.265886,77.888054",33975,470,15
1732378487,2024-11-23T16:14:47Z,AIC2886,"14.329058,77.906319",34000,471,15
1732378520,2024-11-23T16:15:20Z,AIC2886,"14.399918,77.926781",34025,471,15
1732378554,2024-11-23T16:15:54Z,AIC2886,"14.470963,77.946579",34025,471,13
1732378590,2024-11-23T16:16:30Z,AIC2886,"14.548226,77.960915",34000,472,9
1732378620,2024-11-23T16:17:00Z,AIC2886,"14.613556,77.972054",34025,471,9
1732378654,2024-11-23T16:17:34Z,AIC2886,"14.685835,77.984283",34025,470,9
1732378687,2024-11-23T16:18:07Z,AIC2886,"14.757614,77.99649",33975,470,9
1732378719,2024-11-23T16:18:39Z,AIC2886,"14.826691,78.008232",33975,470,9
1732378754,2024-11-23T16:19:14Z,AIC2886,"14.90058,78.020737",34000,469,9
1732378786,2024-11-23T16:19:46Z,AIC2886,"14.969467,78.032471",33975,470,9
1732378819,2024-11-23T16:20:19Z,AIC2886,"15.041493,78.044716",34000,470,9
1732378852,2024-11-23T16:20:52Z,AIC2886,"15.11174,78.05661",34025,470,9
1732378882,2024-11-23T16:21:22Z,AIC2886,"15.176961,78.066887",34000,470,6
1732378916,2024-11-23T16:21:56Z,AIC2886,"15.250214,78.071014",34000,471,1
1732378949,2024-11-23T16:22:29Z,AIC2886,"15.323787,78.070465",33975,472,359
1732378982,2024-11-23T16:23:02Z,AIC2886,"15.396035,78.069977",34000,472,359
1732379014,2024-11-23T16:23:34Z,AIC2886,"15.466189,78.069389",34025,471,359
1732379048,2024-11-23T16:24:08Z,AIC2886,"15.539246,78.068848",34025,470,359
1732379081,2024-11-23T16:24:41Z,AIC2886,"15.611386,78.06826",34025,469,359
1732379111,2024-11-23T16:25:11Z,AIC2886,"15.676745,78.067818",34000,468,359
1732379144,2024-11-23T16:25:44Z,AIC2886,"15.748856,78.067162",33975,468,359
1732379177,2024-11-23T16:26:17Z,AIC2886,"15.819149,78.066643",33975,466,359
1732379210,2024-11-23T16:26:50Z,AIC2886,"15.890808,78.066055",33975,467,359
1732379243,2024-11-23T16:27:23Z,AIC2886,"15.963786,78.065514",33975,468,359
1732379276,2024-11-23T16:27:56Z,AIC2886,"16.034866,78.064896",34000,468,359
1732379309,2024-11-23T16:28:29Z,AIC2886,"16.106377,78.064285",34000,468,359
1732379341,2024-11-23T16:29:01Z,AIC2886,"16.174713,78.063744",34000,468,359
1732379374,2024-11-23T16:29:34Z,AIC2886,"16.247086,78.063164",34025,468,359
1732379404,2024-11-23T16:30:04Z,AIC2886,"16.312592,78.06263",34025,467,359
1732379435,2024-11-23T16:30:35Z,AIC2886,"16.379379,78.06205",34025,467,359
1732379467,2024-11-23T16:31:07Z,AIC2886,"16.44779,78.061539",34025,466,359
1732379498,2024-11-23T16:31:38Z,AIC2886,"16.516068,78.060944",34025,465,359
1732379530,2024-11-23T16:32:10Z,AIC2886,"16.585464,78.060417",34000,464,359
1732379563,2024-11-23T16:32:43Z,AIC2886,"16.656111,78.059875",34000,463,359
1732379596,2024-11-23T16:33:16Z,AIC2886,"16.72728,78.059258",33975,462,359
1732379626,2024-11-23T16:33:46Z,AIC2886,"16.786598,78.058746",33975,462,359
1732379660,2024-11-23T16:34:20Z,AIC2886,"16.863281,78.058052",33975,462,359
1732379690,2024-11-23T16:34:50Z,AIC2886,"16.928396,78.057564",33975,463,359
1732379724,2024-11-23T16:35:24Z,AIC2886,"17.000551,78.05703",33975,463,359
1732379757,2024-11-23T16:35:57Z,AIC2886,"17.071869,78.056442",33975,465,359
1732379789,2024-11-23T16:36:29Z,AIC2886,"17.14064,78.055885",34000,466,359
1732379822,2024-11-23T16:37:02Z,AIC2886,"17.212597,78.05526",34000,468,359
1732379853,2024-11-23T16:37:33Z,AIC2886,"17.27898,78.054672",34025,468,359
1732379883,2024-11-23T16:38:03Z,AIC2886,"17.345644,78.054184",34025,468,359
1732379917,2024-11-23T16:38:37Z,AIC2886,"17.41777,78.053574",34025,467,359
1732379948,2024-11-23T16:39:08Z,AIC2886,"17.485533,78.053055",34025,468,359
1732379978,2024-11-23T16:39:38Z,AIC2886,"17.551218,78.052513",34025,467,359
1732380012,2024-11-23T16:40:12Z,AIC2886,"17.623856,78.051888",34025,466,359
1732380043,2024-11-23T16:40:43Z,AIC2886,"17.6912,78.051338",34000,466,359
1732380075,2024-11-23T16:41:15Z,AIC2886,"17.760098,78.050751",34000,465,359
