Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1741231493,2025-03-06T03:24:53Z,IGO706,"10.15432,76.389709",0,0,357
1741231527,2025-03-06T03:25:27Z,IGO706,"10.154114,76.389717",0,2,357
1741231550,2025-03-06T03:25:50Z,IGO706,"10.153908,76.389732",0,2,357
1741231566,2025-03-06T03:26:06Z,IGO706,"10.153683,76.389748",0,2,28
1741231589,2025-03-06T03:26:29Z,IGO706,"10.153474,76.389618",0,2,75
1741231850,2025-03-06T03:30:50Z,IGO706,"10.15345,76.389847",0,5,90
1741231861,2025-03-06T03:31:01Z,IGO706,"10.153462,76.39006",0,3,87
1741231876,2025-03-06T03:31:16Z,IGO706,"10.153462,76.390274",0,4,87
1741231888,2025-03-06T03:31:28Z,IGO706,"10.15337,76.390503",0,5,115
1741231902,2025-03-06T03:31:42Z,IGO706,"10.153164,76.390556",0,2,160
1741232126,2025-03-06T03:35:26Z,IGO706,"10.152958,76.390579",0,4,174
1741232141,2025-03-06T03:35:41Z,IGO706,"10.152718,76.390648",0,4,160
1741232152,2025-03-06T03:35:52Z,IGO706,"10.152546,76.390884",0,7,120
1741232159,2025-03-06T03:35:59Z,IGO706,"10.152519,76.39109",0,7,98
1741232167,2025-03-06T03:36:07Z,IGO706,"10.152438,76.391357",0,8,112
1741232176,2025-03-06T03:36:16Z,IGO706,"10.152214,76.39151",0,6,149
1741232183,2025-03-06T03:36:23Z,IGO706,"10.152007,76.391525",0,7,174
1741232189,2025-03-06T03:36:29Z,IGO706,"10.151798,76.391525",0,8,177
1741232196,2025-03-06T03:36:36Z,IGO706,"10.151542,76.391541",0,9,177
1741232202,2025-03-06T03:36:42Z,IGO706,"10.151298,76.391548",0,9,177
1741232209,2025-03-06T03:36:49Z,IGO706,"10.15099,76.39164",0,9,157
1741232217,2025-03-06T03:36:57Z,IGO706,"10.150818,76.391876",0,7,123
1741232226,2025-03-06T03:37:06Z,IGO706,"10.150808,76.392097",0,4,92
1741232237,2025-03-06T03:37:17Z,IGO706,"10.15082,76.392319",0,8,90
1741232240,2025-03-06T03:37:20Z,IGO706,"10.150832,76.392532",0,20,87
1741232243,2025-03-06T03:37:23Z,IGO706,"10.150844,76.392868",0,30,87
1741232244,2025-03-06T03:37:24Z,IGO706,"10.150855,76.393074",0,41,87
1741232246,2025-03-06T03:37:26Z,IGO706,"10.150867,76.393501",0,47,87
1741232248,2025-03-06T03:37:28Z,IGO706,"10.15089,76.394081",0,63,87
1741232250,2025-03-06T03:37:30Z,IGO706,"10.150909,76.394844",0,72,87
1741232252,2025-03-06T03:37:32Z,IGO706,"10.150944,76.395645",0,82,87
1741232259,2025-03-06T03:37:39Z,IGO706,"10.151088,76.399017",50,103,87
1741232280,2025-03-06T03:38:00Z,IGO706,"10.151642,76.413589",325,162,87
1741232289,2025-03-06T03:38:09Z,IGO706,"10.151962,76.420433",650,168,87
1741232295,2025-03-06T03:38:15Z,IGO706,"10.152145,76.425835",825,176,88
1741232302,2025-03-06T03:38:22Z,IGO706,"10.152328,76.431793",975,186,88
1741232309,2025-03-06T03:38:29Z,IGO706,"10.152485,76.437759",1100,195,88
1741232318,2025-03-06T03:38:38Z,IGO706,"10.152577,76.446091",1300,207,89
1741232324,2025-03-06T03:38:44Z,IGO706,"10.152695,76.451996",1425,216,89
1741232333,2025-03-06T03:38:53Z,IGO706,"10.152786,76.461304",1675,224,89
1741232339,2025-03-06T03:38:59Z,IGO706,"10.153107,76.468193",1850,232,84
1741232341,2025-03-06T03:39:01Z,IGO706,"10.153322,76.470146",1900,233,81
1741232343,2025-03-06T03:39:03Z,IGO706,"10.153834,76.472656",1950,236,77
1741232345,2025-03-06T03:39:05Z,IGO706,"10.154434,76.474899",2000,237,73
1741232347,2025-03-06T03:39:07Z,IGO706,"10.155167,76.477043",2050,240,69
1741232350,2025-03-06T03:39:10Z,IGO706,"10.156116,76.479141",2125,240,65
1741232352,2025-03-06T03:39:12Z,IGO706,"10.157326,76.481369",2200,242,58
1741232354,2025-03-06T03:39:14Z,IGO706,"10.158909,76.483742",2275,242,53
1741232356,2025-03-06T03:39:16Z,IGO706,"10.160445,76.485588",2350,243,49
1741232359,2025-03-06T03:39:19Z,IGO706,"10.162582,76.487701",2450,243,44
1741232361,2025-03-06T03:39:21Z,IGO706,"10.16389,76.488853",2525,243,40
1741232363,2025-03-06T03:39:23Z,IGO706,"10.166061,76.490448",2625,243,33
1741232365,2025-03-06T03:39:25Z,IGO706,"10.167847,76.491554",2700,242,29
1741232367,2025-03-06T03:39:27Z,IGO706,"10.169678,76.492493",2775,242,26
1741232369,2025-03-06T03:39:29Z,IGO706,"10.17213,76.493492",2900,242,20
1741232371,2025-03-06T03:39:31Z,IGO706,"10.174317,76.494247",3000,241,16
1741232373,2025-03-06T03:39:33Z,IGO706,"10.176925,76.494911",3100,240,13
1741232375,2025-03-06T03:39:35Z,IGO706,"10.179245,76.49543",3225,241,11
