Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1735483848,2024-12-29T14:50:48Z,AIC2886,"10.154251,76.389275",0,1,357
1735483872,2024-12-29T14:51:12Z,AIC2886,"10.154045,76.389275",0,2,357
1735483896,2024-12-29T14:51:36Z,AIC2886,"10.1538,76.38929",0,2,5
1735483917,2024-12-29T14:51:57Z,AIC2886,"10.153587,76.389275",0,2,42
1735484229,2024-12-29T14:57:09Z,AIC2886,"10.153439,76.389633",0,8,87
1735484236,2024-12-29T14:57:16Z,AIC2886,"10.153461,76.389999",0,11,87
1735484243,2024-12-29T14:57:23Z,AIC2886,"10.153473,76.390373",0,13,87
1735484251,2024-12-29T14:57:31Z,AIC2886,"10.153485,76.390854",0,14,87
1735484260,2024-12-29T14:57:40Z,AIC2886,"10.153507,76.391571",0,16,87
1735484276,2024-12-29T14:57:56Z,AIC2886,"10.153553,76.392632",0,0,87
1735484285,2024-12-29T14:58:05Z,AIC2886,"10.153566,76.392998",0,9,87
1735484327,2024-12-29T14:58:47Z,AIC2886,"10.153645,76.395164",0,0,87
1735484580,2024-12-29T15:03:00Z,AIC2886,"10.153187,76.409157",0,16,87
1735484588,2024-12-29T15:03:08Z,AIC2886,"10.15321,76.409889",0,15,87
1735484596,2024-12-29T15:03:16Z,AIC2886,"10.15323,76.410431",0,14,87
1735484603,2024-12-29T15:03:23Z,AIC2886,"10.153241,76.410919",0,13,87
1735484611,2024-12-29T15:03:31Z,AIC2886,"10.153264,76.411308",0,14,87
1735484619,2024-12-29T15:03:39Z,AIC2886,"10.153299,76.411949",0,14,87
1735484627,2024-12-29T15:03:47Z,AIC2886,"10.153301,76.412392",0,15,87
1735484634,2024-12-29T15:03:54Z,AIC2886,"10.153324,76.412834",0,14,87
1735484642,2024-12-29T15:04:02Z,AIC2886,"10.153346,76.413513",0,13,87
1735484649,2024-12-29T15:04:09Z,AIC2886,"10.153358,76.413918",0,12,87
1735484656,2024-12-29T15:04:16Z,AIC2886,"10.15338,76.414307",0,12,87
1735484663,2024-12-29T15:04:23Z,AIC2886,"10.153392,76.414734",0,13,87
1735484671,2024-12-29T15:04:31Z,AIC2886,"10.153404,76.415115",0,11,90
1735484679,2024-12-29T15:04:39Z,AIC2886,"10.153404,76.415497",0,8,90
1735484684,2024-12-29T15:04:44Z,AIC2886,"10.153313,76.415733",0,9,112
1735484690,2024-12-29T15:04:50Z,AIC2886,"10.153101,76.415855",0,10,151
1735484696,2024-12-29T15:04:56Z,AIC2886,"10.152843,76.415871",0,11,174
1735484700,2024-12-29T15:05:00Z,AIC2886,"10.152603,76.415886",0,12,177
1735484704,2024-12-29T15:05:04Z,AIC2886,"10.152391,76.415894",0,12,177
1735484710,2024-12-29T15:05:10Z,AIC2886,"10.152054,76.415894",0,9,180
1735484716,2024-12-29T15:05:16Z,AIC2886,"10.151833,76.415794",0,9,202
1735484725,2024-12-29T15:05:25Z,AIC2886,"10.15167,76.415527",0,8,247
1735484730,2024-12-29T15:05:30Z,AIC2886,"10.151681,76.415314",0,8,267
1735484736,2024-12-29T15:05:36Z,AIC2886,"10.151665,76.415092",0,9,267
1735484740,2024-12-29T15:05:40Z,AIC2886,"10.151653,76.414833",0,14,267
1735484743,2024-12-29T15:05:43Z,AIC2886,"10.151642,76.414566",0,25,267
1735484746,2024-12-29T15:05:46Z,AIC2886,"10.15163,76.414146",0,39,267
1735484748,2024-12-29T15:05:48Z,AIC2886,"10.151608,76.413765",0,44,267
1735484760,2024-12-29T15:06:00Z,AIC2886,"10.151596,76.413139",0,0,267
1735484785,2024-12-29T15:06:25Z,AIC2886,"10.150818,76.392548",225,163,267
1735484793,2024-12-29T15:06:33Z,AIC2886,"10.150497,76.386543",525,162,267
1735484799,2024-12-29T15:06:39Z,AIC2886,"10.150314,76.382072",725,163,267
1735484808,2024-12-29T15:06:48Z,AIC2886,"10.149994,76.375046",1025,167,267
1735484816,2024-12-29T15:06:56Z,AIC2886,"10.149784,76.368095",1200,176,267
1735484823,2024-12-29T15:07:03Z,AIC2886,"10.149582,76.362663",1300,188,268
1735484832,2024-12-29T15:07:12Z,AIC2886,"10.149319,76.354507",1475,199,267
1735484840,2024-12-29T15:07:20Z,AIC2886,"10.148987,76.346413",1625,212,267
1735484847,2024-12-29T15:07:27Z,AIC2886,"10.148575,76.33934",1775,222,266
1735484856,2024-12-29T15:07:36Z,AIC2886,"10.14798,76.329613",1950,236,266
1735484864,2024-12-29T15:07:44Z,AIC2886,"10.147339,76.320023",2200,248,266
1735484871,2024-12-29T15:07:51Z,AIC2886,"10.146852,76.312218",2400,256,266
1735484880,2024-12-29T15:08:00Z,AIC2886,"10.146286,76.30191",2625,271,266
1735484886,2024-12-29T15:08:06Z,AIC2886,"10.145781,76.293327",2800,279,266
1735484896,2024-12-29T15:08:16Z,AIC2886,"10.145554,76.280266",3200,285,272
1735484898,2024-12-29T15:08:18Z,AIC2886,"10.145967,76.276749",3325,285,277
1735484900,2024-12-29T15:08:20Z,AIC2886,"10.146423,76.274216",3400,285,281
1735484903,2024-12-29T15:08:23Z,AIC2886,"10.147178,76.271255",3525,284,284
1735484906,2024-12-29T15:08:26Z,AIC2886,"10.148666,76.266953",3725,282,291
1735484908,2024-12-29T15:08:28Z,AIC2886,"10.149719,76.264526",3825,281,294
1735484911,2024-12-29T15:08:31Z,AIC2886,"10.151596,76.260948",4000,279,300
1735484913,2024-12-29T15:08:33Z,AIC2886,"10.153043,76.258659",4150,277,303
1735484915,2024-12-29T15:08:35Z,AIC2886,"10.154393,76.256813",4250,276,306
1735484918,2024-12-29T15:08:38Z,AIC2886,"10.156311,76.254425",4400,274,311
1735484920,2024-12-29T15:08:40Z,AIC2886,"10.158142,76.252472",4525,273,313
1735484923,2024-12-29T15:08:43Z,AIC2886,"10.161118,76.249725",4700,271,320
1735484925,2024-12-29T15:08:45Z,AIC2886,"10.163564,76.247818",4825,269,323
1735484927,2024-12-29T15:08:47Z,AIC2886,"10.165519,76.24649",4925,269,327
1735484929,2024-12-29T15:08:49Z,AIC2886,"10.167664,76.245255",5025,269,330
1735484931,2024-12-29T15:08:51Z,AIC2886,"10.1705,76.24379",5150,269,334
1735484934,2024-12-29T15:08:54Z,AIC2886,"10.172379,76.242973",5225,269,337
1735484937,2024-12-29T15:08:57Z,AIC2886,"10.175854,76.241753",5350,269,342
1735484939,2024-12-29T15:08:59Z,AIC2886,"10.17897,76.240929",5475,268,347
1735484941,2024-12-29T15:09:01Z,AIC2886,"10.181534,76.240463",5550,268,351
1735484943,2024-12-29T15:09:03Z,AIC2886,"10.184143,76.240135",5650,269,354
1735484945,2024-12-29T15:09:05Z,AIC2886,"10.186523,76.240044",5725,269,358
1735484948,2024-12-29T15:09:08Z,AIC2886,"10.190099,76.240097",5875,269,2
1735484950,2024-12-29T15:09:10Z,AIC2886,"10.192566,76.240334",5975,268,5
1735484952,2024-12-29T15:09:12Z,AIC2886,"10.195173,76.240761",6075,268,11
1735484954,2024-12-29T15:09:14Z,AIC2886,"10.19751,76.241348",6175,267,15
1735484956,2024-12-29T15:09:16Z,AIC2886,"10.200485,76.242279",6325,266,18
1735484958,2024-12-29T15:09:18Z,AIC2886,"10.202947,76.243225",6425,266,22
1735484961,2024-12-29T15:09:21Z,AIC2886,"10.205383,76.24437",6550,266,27
1735484963,2024-12-29T15:09:23Z,AIC2886,"10.207764,76.245674",6675,266,30
1735484965,2024-12-29T15:09:25Z,AIC2886,"10.210023,76.247154",6775,267,34
1735484967,2024-12-29T15:09:27Z,AIC2886,"10.21257,76.249031",6900,266,37
1735484969,2024-12-29T15:09:29Z,AIC2886,"10.214026,76.250282",6975,268,40
1735484972,2024-12-29T15:09:32Z,AIC2886,"10.21637,76.252472",7075,268,44
1735484974,2024-12-29T15:09:34Z,AIC2886,"10.217972,76.254242",7150,270,49
1735484976,2024-12-29T15:09:36Z,AIC2886,"10.219566,76.256149",7250,270,50
1735484978,2024-12-29T15:09:38Z,AIC2886,"10.221382,76.258568",7350,272,52
1735484980,2024-12-29T15:09:40Z,AIC2886,"10.222918,76.260742",7450,272,55
1735484982,2024-12-29T15:09:42Z,AIC2886,"10.224335,76.26281",7525,273,56
1735484984,2024-12-29T15:09:44Z,AIC2886,"10.22613,76.265572",7650,275,56
1735484986,2024-12-29T15:09:46Z,AIC2886,"10.227585,76.267792",7725,276,57
1735484990,2024-12-29T15:09:50Z,AIC2886,"10.229668,76.271118",7875,277,57
1735484992,2024-12-29T15:09:52Z,AIC2886,"10.231339,76.27375",8000,278,57
1735484994,2024-12-29T15:09:54Z,AIC2886,"10.232346,76.275375",8075,277,57
1735484996,2024-12-29T15:09:56Z,AIC2886,"10.233856,76.277794",8200,277,57
1735484998,2024-12-29T15:09:58Z,AIC2886,"10.235487,76.280396",8350,276,57
1735485000,2024-12-29T15:10:00Z,AIC2886,"10.236832,76.282547",8475,276,57
1735485015,2024-12-29T15:10:15Z,AIC2886,"10.247171,76.298912",9400,274,57
1735485027,2024-12-29T15:10:27Z,AIC2886,"10.255875,76.312431",10000,278,56
1735485041,2024-12-29T15:10:41Z,AIC2886,"10.266403,76.328308",10475,291,56
1735485056,2024-12-29T15:10:56Z,AIC2886,"10.277477,76.345085",10775,308,56
1735485069,2024-12-29T15:11:09Z,AIC2886,"10.288603,76.359909",11375,310,45
1735485071,2024-12-29T15:11:11Z,AIC2886,"10.29071,76.361961",11475,311,42
1735485073,2024-12-29T15:11:13Z,AIC2886,"10.293398,76.364265",11600,311,39
1735485076,2024-12-29T15:11:16Z,AIC2886,"10.296191,76.36644",11700,312,36
1735485078,2024-12-29T15:11:18Z,AIC2886,"10.298472,76.367958",11800,312,32
1735485080,2024-12-29T15:11:20Z,AIC2886,"10.301079,76.369568",11925,312,29
1735485082,2024-12-29T15:11:22Z,AIC2886,"10.304292,76.371315",12050,312,27
1735485084,2024-12-29T15:11:24Z,AIC2886,"10.306274,76.372345",12125,312,26
1735485087,2024-12-29T15:11:27Z,AIC2886,"10.310989,76.374718",12275,313,26
1735485089,2024-12-29T15:11:29Z,AIC2886,"10.313736,76.376114",12350,315,26
1735485091,2024-12-29T15:11:31Z,AIC2886,"10.316581,76.377472",12450,316,26
1735485094,2024-12-29T15:11:34Z,AIC2886,"10.319468,76.378944",12525,317,25
1735485096,2024-12-29T15:11:36Z,AIC2886,"10.322261,76.380264",12600,317,25
1735485098,2024-12-29T15:11:38Z,AIC2886,"10.325134,76.381699",12675,317,25
1735485100,2024-12-29T15:11:40Z,AIC2886,"10.327754,76.382965",12750,319,26
1735485102,2024-12-29T15:11:42Z,AIC2886,"10.330919,76.384529",12850,320,26
1735485104,2024-12-29T15:11:44Z,AIC2886,"10.333694,76.385895",12925,320,26
1735485107,2024-12-29T15:11:47Z,AIC2886,"10.336831,76.387421",13050,320,26
1735485137,2024-12-29T15:12:17Z,AIC2886,"10.377378,76.407448",14425,322,26
1735485168,2024-12-29T15:12:48Z,AIC2886,"10.420761,76.429001",15075,347,26
1735485200,2024-12-29T15:13:20Z,AIC2886,"10.468295,76.45253",16100,358,26
1735485233,2024-12-29T15:13:53Z,AIC2886,"10.517826,76.477135",17075,369,26
1735485266,2024-12-29T15:14:26Z,AIC2886,"10.569639,76.502769",18175,378,26
1735485298,2024-12-29T15:14:58Z,AIC2886,"10.620055,76.527771",19425,377,26
1735485330,2024-12-29T15:15:30Z,AIC2886,"10.66983,76.552452",20950,366,26
1735485362,2024-12-29T15:16:02Z,AIC2886,"10.719304,76.577019",22050,368,26
1735485393,2024-12-29T15:16:33Z,AIC2886,"10.767673,76.601013",22625,383,26
1735485425,2024-12-29T15:17:05Z,AIC2886,"10.818833,76.626411",23125,399,26
1735485457,2024-12-29T15:17:37Z,AIC2886,"10.874184,76.653923",23800,410,26
1735485488,2024-12-29T15:18:08Z,AIC2886,"10.927048,76.680214",24550,416,26
1735485520,2024-12-29T15:18:40Z,AIC2886,"10.984406,76.708771",25150,427,26
1735485552,2024-12-29T15:19:12Z,AIC2886,"11.041763,76.737274",25950,431,26
1735485585,2024-12-29T15:19:45Z,AIC2886,"11.099217,76.765907",26525,437,26
1735485617,2024-12-29T15:20:17Z,AIC2886,"11.158997,76.795662",27175,443,26
1735485648,2024-12-29T15:20:48Z,AIC2886,"11.216995,76.824455",27750,449,26
1735485681,2024-12-29T15:21:21Z,AIC2886,"11.278862,76.855293",28375,451,26
1735485714,2024-12-29T15:21:54Z,AIC2886,"11.340729,76.886162",28900,455,26
1735485745,2024-12-29T15:22:25Z,AIC2886,"11.399572,76.915474",29375,454,26
1735485776,2024-12-29T15:22:56Z,AIC2886,"11.458322,76.944771",29825,450,26
1735485808,2024-12-29T15:23:28Z,AIC2886,"11.518982,76.975143",30000,461,26
1735485841,2024-12-29T15:24:01Z,AIC2886,"11.58322,77.007225",30000,468,26
1735485873,2024-12-29T15:24:33Z,AIC2886,"11.64679,77.03907",30000,467,26
1735485904,2024-12-29T15:25:04Z,AIC2886,"11.705374,77.068367",30000,468,26
1735485936,2024-12-29T15:25:36Z,AIC2886,"11.768825,77.100121",30000,467,26
1735485967,2024-12-29T15:26:07Z,AIC2886,"11.82939,77.130478",30000,468,26
1735486000,2024-12-29T15:26:40Z,AIC2886,"11.892975,77.162285",30000,468,26
1735486031,2024-12-29T15:27:11Z,AIC2886,"11.952986,77.192352",30000,466,26
1735486063,2024-12-29T15:27:43Z,AIC2886,"12.016617,77.224274",30000,468,26
1735486096,2024-12-29T15:28:16Z,AIC2886,"12.079376,77.255859",30000,468,26
1735486128,2024-12-29T15:28:48Z,AIC2886,"12.141769,77.286736",30000,465,24
1735486160,2024-12-29T15:29:20Z,AIC2886,"12.2073,77.312958",30000,468,20
1735486192,2024-12-29T15:29:52Z,AIC2886,"12.271543,77.33744",30000,468,20
1735486224,2024-12-29T15:30:24Z,AIC2886,"12.335999,77.361931",30000,468,20
1735486254,2024-12-29T15:30:54Z,AIC2886,"12.400073,77.382202",30000,468,14
1735486286,2024-12-29T15:31:26Z,AIC2886,"12.466783,77.400223",30000,468,15
1735486317,2024-12-29T15:31:57Z,AIC2886,"12.531921,77.417953",30000,467,14
1735486349,2024-12-29T15:32:29Z,AIC2886,"12.598339,77.435928",30000,467,14
1735486382,2024-12-29T15:33:02Z,AIC2886,"12.668243,77.454895",30000,469,14
1735486413,2024-12-29T15:33:33Z,AIC2886,"12.734207,77.472794",30000,469,14
1735486445,2024-12-29T15:34:05Z,AIC2886,"12.801027,77.490906",30000,469,14
1735486476,2024-12-29T15:34:36Z,AIC2886,"12.867457,77.50898",30000,467,14
1735486509,2024-12-29T15:35:09Z,AIC2886,"12.935074,77.527298",30000,467,14
1735486540,2024-12-29T15:35:40Z,AIC2886,"13.000876,77.54512",30000,468,14
1735486573,2024-12-29T15:36:13Z,AIC2886,"13.069588,77.563721",30000,467,13
1735486606,2024-12-29T15:36:46Z,AIC2886,"13.140152,77.576401",30000,464,6
1735486636,2024-12-29T15:37:16Z,AIC2886,"13.205752,77.580971",30000,460,3
1735486669,2024-12-29T15:37:49Z,AIC2886,"13.275055,77.585121",30000,459,3
1735486702,2024-12-29T15:38:22Z,AIC2886,"13.344618,77.589256",30000,462,3
1735486734,2024-12-29T15:38:54Z,AIC2886,"13.413655,77.5933",30000,462,3
1735486766,2024-12-29T15:39:26Z,AIC2886,"13.482645,77.597351",30000,462,3
1735486799,2024-12-29T15:39:59Z,AIC2886,"13.554336,77.601593",30000,463,3
1735486831,2024-12-29T15:40:31Z,AIC2886,"13.621278,77.605545",30000,463,3
1735486862,2024-12-29T15:41:02Z,AIC2886,"13.688004,77.609413",30000,462,3
1735486895,2024-12-29T15:41:35Z,AIC2886,"13.758453,77.61348",30000,463,3
1735486926,2024-12-29T15:42:06Z,AIC2886,"13.825974,77.617508",30000,464,3
1735486958,2024-12-29T15:42:38Z,AIC2886,"13.895142,77.621536",30000,463,3
1735486989,2024-12-29T15:43:09Z,AIC2886,"13.961929,77.62542",30000,463,3
1735487021,2024-12-29T15:43:41Z,AIC2886,"14.031235,77.629486",30000,464,3
1735487052,2024-12-29T15:44:12Z,AIC2886,"14.096924,77.633369",30000,466,3
1735487083,2024-12-29T15:44:43Z,AIC2886,"14.164356,77.63739",30000,465,3
1735487114,2024-12-29T15:45:14Z,AIC2886,"14.230728,77.641281",29975,465,3
1735487145,2024-12-29T15:45:45Z,AIC2886,"14.297729,77.645248",29975,464,3
1735487176,2024-12-29T15:46:16Z,AIC2886,"14.365723,77.649239",29975,463,3
1735487209,2024-12-29T15:46:49Z,AIC2886,"14.434433,77.653259",29975,464,3
1735487240,2024-12-29T15:47:20Z,AIC2886,"14.502686,77.657288",29975,466,3
1735487271,2024-12-29T15:47:51Z,AIC2886,"14.569748,77.661263",29975,465,3
1735487302,2024-12-29T15:48:22Z,AIC2886,"14.636169,77.665192",29975,463,3
1735487334,2024-12-29T15:48:54Z,AIC2886,"14.706573,77.669312",29975,461,3
1735487367,2024-12-29T15:49:27Z,AIC2886,"14.77533,77.67334",29975,463,3
1735487398,2024-12-29T15:49:58Z,AIC2886,"14.842804,77.677391",29975,465,3
1735487429,2024-12-29T15:50:29Z,AIC2886,"14.909657,77.681335",29975,464,3
1735487462,2024-12-29T15:51:02Z,AIC2886,"14.980591,77.685486",30000,466,3
1735487493,2024-12-29T15:51:33Z,AIC2886,"15.047452,77.689522",30000,467,3
1735487525,2024-12-29T15:52:05Z,AIC2886,"15.117508,77.693726",30000,468,3
1735487557,2024-12-29T15:52:37Z,AIC2886,"15.18683,77.697861",30000,467,3
1735487589,2024-12-29T15:53:09Z,AIC2886,"15.254654,77.701912",30000,466,3
1735487619,2024-12-29T15:53:39Z,AIC2886,"15.321075,77.705772",30000,465,3
1735487652,2024-12-29T15:54:12Z,AIC2886,"15.391251,77.709915",30000,464,3
1735487683,2024-12-29T15:54:43Z,AIC2886,"15.459641,77.713959",30000,465,3
1735487714,2024-12-29T15:55:14Z,AIC2886,"15.526987,77.717972",30000,467,3
1735487746,2024-12-29T15:55:46Z,AIC2886,"15.595184,77.722054",30000,467,3
1735487777,2024-12-29T15:56:17Z,AIC2886,"15.662292,77.726105",30000,466,3
1735487809,2024-12-29T15:56:49Z,AIC2886,"15.730467,77.730186",30000,462,3
1735487839,2024-12-29T15:57:19Z,AIC2886,"15.796152,77.734062",30000,464,3
1735487871,2024-12-29T15:57:51Z,AIC2886,"15.864624,77.738197",30000,462,3
1735487904,2024-12-29T15:58:24Z,AIC2886,"15.933667,77.742348",30000,461,3
1735487934,2024-12-29T15:58:54Z,AIC2886,"15.998566,77.746246",30000,466,3
1735487966,2024-12-29T15:59:26Z,AIC2886,"16.069107,77.750488",30000,468,3
1735487997,2024-12-29T15:59:57Z,AIC2886,"16.135391,77.754433",30000,468,3
1735488029,2024-12-29T16:00:29Z,AIC2886,"16.205887,77.758675",30000,465,3
1735488061,2024-12-29T16:01:01Z,AIC2886,"16.273499,77.762726",30000,466,3
1735488091,2024-12-29T16:01:31Z,AIC2886,"16.340057,77.766769",30000,464,3
1735488123,2024-12-29T16:02:03Z,AIC2886,"16.407578,77.770775",30000,467,3
1735488154,2024-12-29T16:02:34Z,AIC2886,"16.476374,77.774918",30000,468,3
1735488185,2024-12-29T16:03:05Z,AIC2886,"16.541779,77.778786",30000,469,3
1735488218,2024-12-29T16:03:38Z,AIC2886,"16.613981,77.783203",30000,467,3
1735488248,2024-12-29T16:04:08Z,AIC2886,"16.680038,77.787224",30000,469,3
1735488280,2024-12-29T16:04:40Z,AIC2886,"16.749939,77.791397",30000,468,3
1735488311,2024-12-29T16:05:11Z,AIC2886,"16.816391,77.795517",30000,469,3
1735488344,2024-12-29T16:05:44Z,AIC2886,"16.888268,77.799881",30000,467,3
1735488374,2024-12-29T16:06:14Z,AIC2886,"16.952789,77.803757",30000,464,3
1735488406,2024-12-29T16:06:46Z,AIC2886,"17.022198,77.807922",30000,465,3
