Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1736088457,2025-01-05T14:47:37Z,AIC2886,"10.154194,76.389252",0,0,0
1736088477,2025-01-05T14:47:57Z,AIC2886,"10.153975,76.389252",0,2,354
1736088514,2025-01-05T14:48:34Z,AIC2886,"10.153587,76.389275",0,0,317
1736088553,2025-01-05T14:49:13Z,AIC2886,"10.153404,76.389656",0,0,267
1736088574,2025-01-05T14:49:34Z,AIC2886,"10.153416,76.389931",0,0,270
1736088595,2025-01-05T14:49:55Z,AIC2886,"10.153427,76.390251",0,0,267
1736088617,2025-01-05T14:50:17Z,AIC2886,"10.153439,76.390556",0,3,267
1736088632,2025-01-05T14:50:32Z,AIC2886,"10.15345,76.39077",0,3,267
1736088882,2025-01-05T14:54:42Z,AIC2886,"10.153275,76.390541",0,0,222
1736088889,2025-01-05T14:54:49Z,AIC2886,"10.153067,76.390541",0,7,185
1736088896,2025-01-05T14:54:56Z,AIC2886,"10.152834,76.390556",0,7,180
1736088911,2025-01-05T14:55:11Z,AIC2886,"10.152489,76.390846",0,7,118
1736088918,2025-01-05T14:55:18Z,AIC2886,"10.152477,76.391129",0,9,92
1736088923,2025-01-05T14:55:23Z,AIC2886,"10.152489,76.391396",0,12,87
1736088931,2025-01-05T14:55:31Z,AIC2886,"10.152512,76.391922",0,15,87
1736088934,2025-01-05T14:55:34Z,AIC2886,"10.152519,76.392143",0,15,87
1736088939,2025-01-05T14:55:39Z,AIC2886,"10.152534,76.392563",0,16,87
1736088950,2025-01-05T14:55:50Z,AIC2886,"10.152569,76.393456",0,18,87
1736088957,2025-01-05T14:55:57Z,AIC2886,"10.152589,76.394081",0,18,87
1736088965,2025-01-05T14:56:05Z,AIC2886,"10.152624,76.394821",0,19,87
1736088984,2025-01-05T14:56:24Z,AIC2886,"10.152682,76.396667",0,0,87
1736089091,2025-01-05T14:58:11Z,AIC2886,"10.153148,76.40921",0,28,87
1736089106,2025-01-05T14:58:26Z,AIC2886,"10.153217,76.411224",0,25,87
1736089119,2025-01-05T14:58:39Z,AIC2886,"10.153267,76.412354",0,19,87
1736089128,2025-01-05T14:58:48Z,AIC2886,"10.153288,76.413048",0,14,87
1736089137,2025-01-05T14:58:57Z,AIC2886,"10.153313,76.413521",0,10,87
1736089143,2025-01-05T14:59:03Z,AIC2886,"10.153313,76.413773",0,7,87
1736089150,2025-01-05T14:59:10Z,AIC2886,"10.153324,76.414047",0,8,90
1736089158,2025-01-05T14:59:18Z,AIC2886,"10.153334,76.414391",0,9,87
1736089165,2025-01-05T14:59:25Z,AIC2886,"10.153346,76.414696",0,10,87
1736089172,2025-01-05T14:59:32Z,AIC2886,"10.153358,76.415039",0,11,87
1736089179,2025-01-05T14:59:39Z,AIC2886,"10.15337,76.41539",0,11,90
1736089184,2025-01-05T14:59:44Z,AIC2886,"10.153358,76.415649",0,10,92
1736089192,2025-01-05T14:59:52Z,AIC2886,"10.153183,76.415855",0,7,137
1736089198,2025-01-05T14:59:58Z,AIC2886,"10.152962,76.415855",0,8,174
1736089205,2025-01-05T15:00:05Z,AIC2886,"10.15274,76.415871",0,6,177
1736089288,2025-01-05T15:01:28Z,AIC2886,"10.152523,76.415871",0,5,180
1736089300,2025-01-05T15:01:40Z,AIC2886,"10.152031,76.415871",0,10,180
1736089307,2025-01-05T15:01:47Z,AIC2886,"10.151699,76.415756",0,8,208
1736089316,2025-01-05T15:01:56Z,AIC2886,"10.15163,76.41552",0,5,253
1736089347,2025-01-05T15:02:27Z,AIC2886,"10.151635,76.415237",0,9,267
1736089351,2025-01-05T15:02:31Z,AIC2886,"10.151619,76.414879",0,20,267
1736089358,2025-01-05T15:02:38Z,AIC2886,"10.151553,76.413284",0,54,267
1736089392,2025-01-05T15:03:12Z,AIC2886,"10.150855,76.393005",350,161,267
1736089399,2025-01-05T15:03:19Z,AIC2886,"10.150681,76.38752",600,159,268
1736089408,2025-01-05T15:03:28Z,AIC2886,"10.150497,76.380913",1000,155,267
1736089415,2025-01-05T15:03:35Z,AIC2886,"10.150296,76.375626",1200,159,267
