Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1734361174,2024-12-16T14:59:34Z,AIC2886,"10.154217,76.389267",0,0,0
1734361193,2024-12-16T14:59:53Z,AIC2886,"10.154009,76.389267",0,2,357
1734361223,2024-12-16T15:00:23Z,AIC2886,"10.153667,76.389297",0,0,33
1734361246,2024-12-16T15:00:46Z,AIC2886,"10.153462,76.389168",0,2,75
1734361522,2024-12-16T15:05:22Z,AIC2886,"10.153439,76.389618",0,7,87
1734361529,2024-12-16T15:05:29Z,AIC2886,"10.15345,76.389854",0,8,87
1734361538,2024-12-16T15:05:38Z,AIC2886,"10.153461,76.390198",0,7,87
1734361548,2024-12-16T15:05:48Z,AIC2886,"10.153346,76.390495",0,7,120
1734361557,2024-12-16T15:05:57Z,AIC2886,"10.153084,76.390572",0,7,163
1734361564,2024-12-16T15:06:04Z,AIC2886,"10.152834,76.390594",0,7,171
1734361573,2024-12-16T15:06:13Z,AIC2886,"10.152577,76.390778",0,7,137
1734361581,2024-12-16T15:06:21Z,AIC2886,"10.152508,76.391052",0,7,101
1734361589,2024-12-16T15:06:29Z,AIC2886,"10.152508,76.391304",0,8,90
1734361596,2024-12-16T15:06:36Z,AIC2886,"10.152531,76.391624",0,9,87
1734361604,2024-12-16T15:06:44Z,AIC2886,"10.152543,76.391968",0,10,87
1734361609,2024-12-16T15:06:49Z,AIC2886,"10.152555,76.392235",0,11,87
1734361613,2024-12-16T15:06:53Z,AIC2886,"10.152566,76.392448",0,13,87
1734361620,2024-12-16T15:07:00Z,AIC2886,"10.152577,76.392937",0,16,87
1734361627,2024-12-16T15:07:07Z,AIC2886,"10.152603,76.393517",0,18,87
1734361633,2024-12-16T15:07:13Z,AIC2886,"10.152615,76.394081",0,19,87
1734361643,2024-12-16T15:07:23Z,AIC2886,"10.152649,76.39505",0,20,90
1734361659,2024-12-16T15:07:39Z,AIC2886,"10.152718,76.396721",0,0,87
1734361666,2024-12-16T15:07:46Z,AIC2886,"10.152729,76.397209",0,0,90
1734361781,2024-12-16T15:09:41Z,AIC2886,"10.153172,76.408974",0,18,87
1734361789,2024-12-16T15:09:49Z,AIC2886,"10.153187,76.409599",0,19,87
1734361796,2024-12-16T15:09:56Z,AIC2886,"10.153217,76.410271",0,19,87
1734361804,2024-12-16T15:10:04Z,AIC2886,"10.153241,76.410904",0,19,87
1734361812,2024-12-16T15:10:12Z,AIC2886,"10.153267,76.411705",0,18,87
1734361820,2024-12-16T15:10:20Z,AIC2886,"10.15329,76.412415",0,16,87
1734361827,2024-12-16T15:10:27Z,AIC2886,"10.153311,76.412857",0,15,87
1734361834,2024-12-16T15:10:34Z,AIC2886,"10.153324,76.413429",0,14,87
1734361843,2024-12-16T15:10:43Z,AIC2886,"10.153347,76.41394",0,11,87
1734361850,2024-12-16T15:10:50Z,AIC2886,"10.153358,76.414276",0,10,87
1734361857,2024-12-16T15:10:57Z,AIC2886,"10.15337,76.41452",0,9,87
1734361865,2024-12-16T15:11:05Z,AIC2886,"10.153381,76.414848",0,8,87
1734361871,2024-12-16T15:11:11Z,AIC2886,"10.153392,76.415131",0,9,87
1734361878,2024-12-16T15:11:18Z,AIC2886,"10.153392,76.415405",0,9,90
1734361884,2024-12-16T15:11:24Z,AIC2886,"10.153336,76.415642",0,9,106
1734361892,2024-12-16T15:11:32Z,AIC2886,"10.15313,76.415833",0,7,140
1734361899,2024-12-16T15:11:39Z,AIC2886,"10.152915,76.415878",0,5,168
1734361914,2024-12-16T15:11:54Z,AIC2886,"10.152705,76.415878",0,1,177
1734361942,2024-12-16T15:12:22Z,AIC2886,"10.152485,76.415894",0,5,177
1734361950,2024-12-16T15:12:30Z,AIC2886,"10.152237,76.415894",0,7,180
1734361957,2024-12-16T15:12:37Z,AIC2886,"10.152007,76.415901",0,7,180
1734361966,2024-12-16T15:12:46Z,AIC2886,"10.15174,76.415878",0,5,185
1734361980,2024-12-16T15:13:00Z,AIC2886,"10.151642,76.415665",0,4,247
1734362036,2024-12-16T15:13:56Z,AIC2886,"10.151647,76.415382",0,14,267
1734362044,2024-12-16T15:14:04Z,AIC2886,"10.151611,76.414268",0,48,267
1734362051,2024-12-16T15:14:11Z,AIC2886,"10.151527,76.411766",0,84,267
1734362060,2024-12-16T15:14:20Z,AIC2886,"10.151367,76.407494",125,103,267
1734362079,2024-12-16T15:14:39Z,AIC2886,"10.150864,76.394455",300,161,267
1734362088,2024-12-16T15:14:48Z,AIC2886,"10.150483,76.387375",650,158,267
1734362095,2024-12-16T15:14:55Z,AIC2886,"10.150249,76.382446",875,158,267
1734362102,2024-12-16T15:15:02Z,AIC2886,"10.150064,76.377045",1125,160,267
1734362111,2024-12-16T15:15:11Z,AIC2886,"10.149811,76.370575",1325,171,267
1734362119,2024-12-16T15:15:19Z,AIC2886,"10.149582,76.364014",1550,179,268
1734362127,2024-12-16T15:15:27Z,AIC2886,"10.149353,76.35656",1775,189,267
1734362136,2024-12-16T15:15:36Z,AIC2886,"10.148947,76.348778",2025,201,266
1734362144,2024-12-16T15:15:44Z,AIC2886,"10.148435,76.340584",2275,211,266
1734362153,2024-12-16T15:15:53Z,AIC2886,"10.147934,76.331985",2575,220,266
1734362161,2024-12-16T15:16:01Z,AIC2886,"10.147522,76.322624",2975,227,268
1734362163,2024-12-16T15:16:03Z,AIC2886,"10.147522,76.320625",3050,229,272
1734362166,2024-12-16T15:16:06Z,AIC2886,"10.147876,76.317238",3175,230,276
1734362169,2024-12-16T15:16:09Z,AIC2886,"10.1483,76.314949",3275,232,282
1734362171,2024-12-16T15:16:11Z,AIC2886,"10.148895,76.312714",3375,233,286
1734362173,2024-12-16T15:16:13Z,AIC2886,"10.149857,76.310013",3475,234,290
1734362175,2024-12-16T15:16:15Z,AIC2886,"10.150543,76.30838",3550,237,296
1734362177,2024-12-16T15:16:17Z,AIC2886,"10.151833,76.305969",3675,238,300
1734362179,2024-12-16T15:16:19Z,AIC2886,"10.15309,76.303978",3750,240,304
1734362182,2024-12-16T15:16:22Z,AIC2886,"10.154812,76.30175",3875,241,308
1734362184,2024-12-16T15:16:24Z,AIC2886,"10.156174,76.300186",3950,242,312
1734362186,2024-12-16T15:16:26Z,AIC2886,"10.158051,76.29837",4075,243,316
1734362188,2024-12-16T15:16:28Z,AIC2886,"10.15984,76.296875",4175,243,322
1734362190,2024-12-16T15:16:30Z,AIC2886,"10.161748,76.295456",4275,244,324
1734362192,2024-12-16T15:16:32Z,AIC2886,"10.163704,76.294319",4400,243,331
1734362194,2024-12-16T15:16:34Z,AIC2886,"10.165706,76.293274",4525,242,335
1734362197,2024-12-16T15:16:37Z,AIC2886,"10.168167,76.292274",4675,241,339
1734362199,2024-12-16T15:16:39Z,AIC2886,"10.170267,76.291618",4775,241,343
1734362201,2024-12-16T15:16:41Z,AIC2886,"10.172967,76.290909",4925,240,347
1734362203,2024-12-16T15:16:43Z,AIC2886,"10.175388,76.290527",5050,240,351
1734362205,2024-12-16T15:16:45Z,AIC2886,"10.177597,76.290321",5175,240,357
1734362207,2024-12-16T15:16:47Z,AIC2886,"10.179764,76.290291",5275,241,357
1734362209,2024-12-16T15:16:49Z,AIC2886,"10.182404,76.290459",5425,240,4
1734362212,2024-12-16T15:16:52Z,AIC2886,"10.184652,76.290718",5525,240,8
1734362214,2024-12-16T15:16:54Z,AIC2886,"10.18689,76.291206",5650,240,12
1734362216,2024-12-16T15:16:56Z,AIC2886,"10.188766,76.291672",5725,240,16
1734362218,2024-12-16T15:16:58Z,AIC2886,"10.191284,76.292557",5850,240,20
1734362220,2024-12-16T15:17:00Z,AIC2886,"10.193916,76.293701",5975,240,24
1734362222,2024-12-16T15:17:02Z,AIC2886,"10.195964,76.294792",6075,241,27
1734362224,2024-12-16T15:17:04Z,AIC2886,"10.197464,76.295723",6150,242,31
1734362226,2024-12-16T15:17:06Z,AIC2886,"10.199735,76.297348",6225,245,37
1734362229,2024-12-16T15:17:09Z,AIC2886,"10.201877,76.299103",6300,248,40
1734362231,2024-12-16T15:17:11Z,AIC2886,"10.203461,76.300606",6350,250,44
1734362234,2024-12-16T15:17:14Z,AIC2886,"10.205926,76.303314",6450,253,49
1734362236,2024-12-16T15:17:16Z,AIC2886,"10.207855,76.305679",6525,256,50
1734362239,2024-12-16T15:17:19Z,AIC2886,"10.209325,76.307533",6575,259,51
1734362241,2024-12-16T15:17:21Z,AIC2886,"10.211288,76.309967",6650,262,50
1734362243,2024-12-16T15:17:23Z,AIC2886,"10.212616,76.311592",6700,265,50
1734362245,2024-12-16T15:17:25Z,AIC2886,"10.214353,76.313637",6750,267,49
1734362247,2024-12-16T15:17:27Z,AIC2886,"10.216167,76.315773",6800,270,49
1734362249,2024-12-16T15:17:29Z,AIC2886,"10.217891,76.317757",6825,272,48
1734362251,2024-12-16T15:17:31Z,AIC2886,"10.219711,76.319832",6875,274,48
1734362255,2024-12-16T15:17:35Z,AIC2886,"10.222687,76.32309",6925,275,46
1734362263,2024-12-16T15:17:43Z,AIC2886,"10.230785,76.33017",7025,277,36
1734362265,2024-12-16T15:17:45Z,AIC2886,"10.232926,76.331635",7075,276,33
1734362267,2024-12-16T15:17:47Z,AIC2886,"10.235733,76.33329",7100,276,30
1734362269,2024-12-16T15:17:49Z,AIC2886,"10.237489,76.33429",7125,275,28
1734362272,2024-12-16T15:17:52Z,AIC2886,"10.240265,76.335709",7175,276,26
1734362274,2024-12-16T15:17:54Z,AIC2886,"10.242517,76.3368",7225,274,25
1734362276,2024-12-16T15:17:56Z,AIC2886,"10.245438,76.338219",7325,274,25
1734362278,2024-12-16T15:17:58Z,AIC2886,"10.247864,76.339386",7400,273,25
1734362280,2024-12-16T15:18:00Z,AIC2886,"10.250011,76.340393",7475,274,25
1734362283,2024-12-16T15:18:03Z,AIC2886,"10.252897,76.341812",7575,275,25
1734362285,2024-12-16T15:18:05Z,AIC2886,"10.255178,76.342903",7675,276,25
1734362287,2024-12-16T15:18:07Z,AIC2886,"10.257646,76.344139",7775,277,25
1734362289,2024-12-16T15:18:09Z,AIC2886,"10.260132,76.345345",7875,278,26
1734362291,2024-12-16T15:18:11Z,AIC2886,"10.263093,76.346786",8000,279,26
1734362305,2024-12-16T15:18:25Z,AIC2886,"10.278992,76.354698",8675,281,26
1734362318,2024-12-16T15:18:38Z,AIC2886,"10.293957,76.362175",9375,282,26
1734362332,2024-12-16T15:18:52Z,AIC2886,"10.311264,76.370903",10075,285,26
1734362346,2024-12-16T15:19:06Z,AIC2886,"10.328219,76.379372",10500,298,26
1734362359,2024-12-16T15:19:19Z,AIC2886,"10.344791,76.387657",10725,316,26
1734362372,2024-12-16T15:19:32Z,AIC2886,"10.362156,76.396324",10975,331,26
1734362387,2024-12-16T15:19:47Z,AIC2886,"10.383151,76.406784",11500,338,26
1734362400,2024-12-16T15:20:00Z,AIC2886,"10.401679,76.416069",12000,344,26
1734362431,2024-12-16T15:20:31Z,AIC2886,"10.447815,76.439056",13500,346,26
1734362465,2024-12-16T15:21:05Z,AIC2886,"10.496506,76.463257",14750,356,26
1734362496,2024-12-16T15:21:36Z,AIC2886,"10.542918,76.486382",15775,368,26
1734362527,2024-12-16T15:22:07Z,AIC2886,"10.591286,76.510521",16850,376,26
1734362560,2024-12-16T15:22:40Z,AIC2886,"10.643936,76.536781",17400,399,26
1734362591,2024-12-16T15:23:11Z,AIC2886,"10.698166,76.563866",17925,416,26
1734362624,2024-12-16T15:23:44Z,AIC2886,"10.755661,76.592468",18775,423,26
1734362656,2024-12-16T15:24:16Z,AIC2886,"10.811646,76.620354",19675,427,26
1734362686,2024-12-16T15:24:46Z,AIC2886,"10.866503,76.647758",20450,431,26
1734362711,2024-12-16T15:25:11Z,AIC2886,"10.911519,76.66703",21050,436,15
1734362713,2024-12-16T15:25:13Z,AIC2886,"10.916453,76.668236",21150,435,12
1734362715,2024-12-16T15:25:15Z,AIC2886,"10.920596,76.669052",21250,434,10
1734362718,2024-12-16T15:25:18Z,AIC2886,"10.925764,76.669922",21375,434,9
1734362720,2024-12-16T15:25:20Z,AIC2886,"10.929581,76.670502",21475,434,8
1734362722,2024-12-16T15:25:22Z,AIC2886,"10.934464,76.671165",21575,432,7
1734362724,2024-12-16T15:25:24Z,AIC2886,"10.938333,76.671654",21650,431,7
1734362726,2024-12-16T15:25:26Z,AIC2886,"10.942383,76.672119",21750,430,6
1734362729,2024-12-16T15:25:29Z,AIC2886,"10.947784,76.672729",21875,429,6
1734362731,2024-12-16T15:25:31Z,AIC2886,"10.952545,76.673256",21950,429,6
1734362733,2024-12-16T15:25:33Z,AIC2886,"10.956482,76.673729",22025,429,6
1734362737,2024-12-16T15:25:37Z,AIC2886,"10.962662,76.674393",22075,430,6
1734362769,2024-12-16T15:26:09Z,AIC2886,"11.028225,76.681633",22725,436,6
1734362800,2024-12-16T15:26:40Z,AIC2886,"11.090466,76.687943",23700,434,5
1734362830,2024-12-16T15:27:10Z,AIC2886,"11.151489,76.693993",24475,435,5
1734362861,2024-12-16T15:27:41Z,AIC2886,"11.21327,76.700523",25325,434,5
1734362892,2024-12-16T15:28:12Z,AIC2886,"11.276395,76.707314",25725,446,6
1734362923,2024-12-16T15:28:43Z,AIC2886,"11.340866,76.714455",25900,459,6
1734362954,2024-12-16T15:29:14Z,AIC2886,"11.408138,76.722153",25975,472,7
1734362986,2024-12-16T15:29:46Z,AIC2886,"11.476089,76.732681",26275,478,9
1734363016,2024-12-16T15:30:16Z,AIC2886,"11.544617,76.743622",26700,482,7
1734363047,2024-12-16T15:30:47Z,AIC2886,"11.612176,76.75222",27000,474,7
1734363081,2024-12-16T15:31:21Z,AIC2886,"11.68515,76.761711",27100,478,7
1734363111,2024-12-16T15:31:51Z,AIC2886,"11.75323,76.771019",27825,472,7
1734363142,2024-12-16T15:32:22Z,AIC2886,"11.818775,76.781761",28300,472,13
1734363151,2024-12-16T15:32:31Z,AIC2886,"11.838959,76.78804",28475,470,19
1734363153,2024-12-16T15:32:33Z,AIC2886,"11.84285,76.789505",28500,469,21
1734363156,2024-12-16T15:32:36Z,AIC2886,"11.8468,76.791161",28525,470,22
1734363158,2024-12-16T15:32:38Z,AIC2886,"11.850677,76.79287",28550,470,23
1734363160,2024-12-16T15:32:40Z,AIC2886,"11.85585,76.795288",28575,469,25
1734363162,2024-12-16T15:32:42Z,AIC2886,"11.859648,76.797226",28575,470,26
1734363164,2024-12-16T15:32:44Z,AIC2886,"11.863512,76.799301",28600,470,29
1734363166,2024-12-16T15:32:46Z,AIC2886,"11.867283,76.801468",28625,469,30
1734363168,2024-12-16T15:32:48Z,AIC2886,"11.871193,76.803879",28650,470,32
1734363170,2024-12-16T15:32:50Z,AIC2886,"11.875534,76.806702",28650,469,33
1734363173,2024-12-16T15:32:53Z,AIC2886,"11.8792,76.809273",28675,470,34
1734363175,2024-12-16T15:32:55Z,AIC2886,"11.882738,76.811928",28700,470,36
1734363177,2024-12-16T15:32:57Z,AIC2886,"11.887021,76.8153",28725,469,38
1734363179,2024-12-16T15:32:59Z,AIC2886,"11.890372,76.818138",28750,469,39
